Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
proteasome-mediated ubiquitin-dependent protein catabolic process	8	2.631578947368421	0.04883757526330047	NSFL1C, ITCH, GID8, ADRM1, PSMF1, RBCK1, PSMA7, AURKA	288	224	19453	2.412326388888889	1.0	1.0	1.0
response to cadmium ion	3	0.9868421052631579	0.05208124414915708	PRNP, PCNA, GSS	288	25	19453	8.105416666666667	1.0	1.0	1.0
bone development	4	1.3157894736842104	0.05416769497379621	BMP2, GNAS, SULF2, TGM2	288	58	19453	4.658285440613027	1.0	1.0	1.0
peptidyl-serine phosphorylation	7	2.302631578947368	0.055530940050426074	CSNK2A1, SRC, TOP1, PCK1, STK4, SGK2, AURKA	288	184	19453	2.56965202294686	1.0	1.0	1.0
response to interleukin-6	2	0.6578947368421052	0.05772518830122517	PCK1, FOXA2	288	4	19453	33.77256944444444	1.0	1.0	1.0
positive regulation by virus of viral protein levels in host cell	2	0.6578947368421052	0.05772518830122517	STAU1, TBC1D20	288	4	19453	33.77256944444444	1.0	1.0	1.0
non-motile cilium assembly	4	1.3157894736842104	0.05881888292515948	IFT52, MKKS, CEP250, MAPRE1	288	60	19453	4.503009259259259	1.0	1.0	1.0
chromatin remodeling	10	3.289473684210526	0.0629525061926802	EYA2, ACTR5, NCOA3, CHD6, PABPC1L, TOP1, KAT14, AURKA, TTI1, TGM2	288	336	19453	2.010271990740741	1.0	1.0	1.0
vesicle-mediated transport	8	2.631578947368421	0.06336958220105335	KIF3B, STX16, CPNE1, ERGIC3, SEC23B, AP5S1, RIN2, ARFGAP1	288	238	19453	2.270424836601307	1.0	1.0	1.0
neuron projection extension	3	0.9868421052631579	0.06377348223840612	FLRT3, CPNE1, AURKA	288	28	19453	7.236979166666667	1.0	1.0	1.0
cartilage development	4	1.3157894736842104	0.07123239010015349	MKKS, DDRGK1, NFATC2, SULF2	288	65	19453	4.1566239316239315	1.0	1.0	1.0
protein O-linked fucosylation	2	0.6578947368421052	0.07162990684436821	POFUT1, SLC35C2	288	5	19453	27.018055555555556	1.0	1.0	1.0
positive regulation of receptor catabolic process	2	0.6578947368421052	0.07162990684436821	PTPN1, ITCH	288	5	19453	27.018055555555556	1.0	1.0	1.0
COPII-coated vesicle budding	2	0.6578947368421052	0.07162990684436821	VAPB, SEC23B	288	5	19453	27.018055555555556	1.0	1.0	1.0
regulation of transcription, DNA-templated	22	7.236842105263158	0.07349034841061783	ZNF133, CEBPB, TGIF2, PHF20, ACTR5, ZMYND8, NFATC2, EBF4, ASXL1, BMP2, MAFB, POFUT1, TCEA2, E2F1, SNAI1, ZNF217, ZNF337, MYBL2, UBE2V1, KAT14, SLC2A4RG, GZF1	288	1014	19453	1.4654763861494633	1.0	1.0	1.0
negative regulation of DNA binding	3	0.9868421052631579	0.08056685926169527	ID1, CPNE1, E2F1	288	32	19453	6.332356770833333	1.0	1.0	1.0
regulation of mitochondrial membrane potential	3	0.9868421052631579	0.08495791105839923	PANK2, SLC4A11, BCL2L1	288	33	19453	6.140467171717172	1.0	1.0	1.0
detection of virus	2	0.6578947368421052	0.0853301442297077	SERINC3, ZCCHC3	288	6	19453	22.515046296296298	1.0	1.0	1.0
attachment of GPI anchor to protein	2	0.6578947368421052	0.0853301442297077	PIGU, PIGT	288	6	19453	22.515046296296298	1.0	1.0	1.0
mitotic centrosome separation	2	0.6578947368421052	0.0853301442297077	KIF3B, AURKA	288	6	19453	22.515046296296298	1.0	1.0	1.0
ERBB2 signaling pathway	2	0.6578947368421052	0.0853301442297077	SRC, PTK6	288	6	19453	22.515046296296298	1.0	1.0	1.0
activation of protein kinase activity	3	0.9868421052631579	0.09394928430045825	PRNP, TPX2, ADNP	288	35	19453	5.789583333333333	1.0	1.0	1.0
positive regulation of protein binding	4	1.3157894736842104	0.09621954995028136	FKBP1A, BMP2, TRIB3, STK4	288	74	19453	3.651088588588588	1.0	1.0	1.0
acetyl-CoA biosynthetic process	2	0.6578947368421052	0.09882889718487795	ACSS2, ACSS1	288	7	19453	19.29861111111111	1.0	1.0	1.0
IRE1-mediated unfolded protein response	2	0.6578947368421052	0.09882889718487795	PTPN1, VAPB	288	7	19453	19.29861111111111	1.0	1.0	1.0
