Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
beta-amyloid clearance	3	0.8547008547008548	0.020118945495569144	C3, INSR, LDLR	334	13	19453	13.440580377706125	0.9999999999999639	1.0	1.0
protein import into mitochondrial inner membrane	3	0.8547008547008548	0.020118945495569144	NDUFA13, TIMM29, TIMM13	334	13	19453	13.440580377706125	0.9999999999999639	1.0	1.0
mRNA splicing, via spliceosome	9	2.564102564102564	0.022187400842910127	XAB2, UBL5, HNRNPM, LSM7, DDX39A, SF3A2, WDR83, CACTIN, LSM4	334	200	19453	2.6209131736526947	0.9999999999999986	1.0	1.0
arachidonic acid metabolic process	4	1.1396011396011396	0.023397726113581697	GPX4, CYP4F3, CYP4F11, CYP4F12	334	36	19453	6.4713905522288755	0.9999999999999998	1.0	1.0
mitochondrial respiratory chain complex I assembly	5	1.4245014245014245	0.025230614725306473	NDUFA13, NDUFB7, NDUFS7, NDUFA11, ECSIT	334	65	19453	4.480193459235375	1.0	1.0	1.0
chromatin remodeling	12	3.418803418803419	0.03110506990218715	MBD3, KDM4B, CARM1, MIER2, SIRT6, PKN1, MPND, HDGFL2, ZBTB7A, BRD4, SMARCA4, GATAD2A	334	336	19453	2.0800898203592815	1.0	1.0	1.0
generation of catalytic spliceosome for first transesterification step	2	0.5698005698005698	0.033944197363158776	XAB2, YJU2	334	2	19453	58.24251497005988	1.0	1.0	1.0
regulation of histone phosphorylation	2	0.5698005698005698	0.033944197363158776	AKAP8L, AKAP8	334	2	19453	58.24251497005988	1.0	1.0	1.0
translation	9	2.564102564102564	0.03535754392327302	RPS15, MRPL4, RPS28, RPL18A, DHPS, RPL36, FARSA, MRPL34, UBA52	334	219	19453	2.3935280124682143	1.0	1.0	1.0
protein localization to nucleus	4	1.1396011396011396	0.03707763535718805	STK11, ABCA7, CALR, ZBTB7A	334	43	19453	5.417908369307896	1.0	1.0	1.0
nuclear-transcribed mRNA catabolic process	3	0.8547008547008548	0.03731516737134906	UPF1, LSM7, LSM4	334	18	19453	9.707085828343313	1.0	1.0	1.0
negative regulation of transposition, RNA-mediated	3	0.8547008547008548	0.04124281570825782	ZNF91, ZNF93, SIRT6	334	19	19453	9.19618657421998	1.0	1.0	1.0
protein targeting	4	1.1396011396011396	0.04159248342585149	GIPC1, CDC37, HOMER3, AP1M2	334	45	19453	5.1771124417831	1.0	1.0	1.0
response to UV	4	1.1396011396011396	0.04394883642039694	CDKN2D, CIRBP, SIRT6, MAP2K7	334	46	19453	5.064566519135642	1.0	1.0	1.0
positive regulation of nitric oxide biosynthetic process	4	1.1396011396011396	0.046370407265865436	INSR, TICAM1, KLF2, DNM2	334	47	19453	4.956809784685948	1.0	1.0	1.0
renal water homeostasis	3	0.8547008547008548	0.049534713307676094	CYP4F3, PRKACA, CYP4F12	334	21	19453	8.320359281437126	1.0	1.0	1.0
negative regulation of transposon integration	2	0.5698005698005698	0.050483017076510484	ZNF91, ZNF93	334	3	19453	38.82834331337326	1.0	1.0	1.0
cell cycle G2/M phase transition	2	0.5698005698005698	0.050483017076510484	AKAP8L, AKAP8	334	3	19453	38.82834331337326	1.0	1.0	1.0
peptidyl-lysine modification to peptidyl-hypusine	2	0.5698005698005698	0.050483017076510484	DHPS, DOHH	334	3	19453	38.82834331337326	1.0	1.0	1.0
positive regulation of transcription elongation from RNA polymerase II promoter	4	1.1396011396011396	0.05943419630589376	ELL, GTF2F1, MED16, BRD4	334	52	19453	4.480193459235376	1.0	1.0	1.0
histone deacetylation	4	1.1396011396011396	0.062233192228774104	MBD3, SIN3B, MIER2, GATAD2A	334	53	19453	4.395661507174331	1.0	1.0	1.0
regulation of transcription regulatory region DNA binding	2	0.5698005698005698	0.06673952891951214	DOT1L, ZBTB7A	334	4	19453	29.12125748502994	1.0	1.0	1.0
ceramide metabolic process	3	0.8547008547008548	0.06769789429707845	FUT6, PLPP2, FUT3	334	25	19453	6.989101796407185	1.0	1.0	1.0
cytoplasmic translation	5	1.4245014245014245	0.07099171611874613	RPS15, RPS28, RPL18A, RPL36, UBA52	334	91	19453	3.200138185168125	1.0	1.0	1.0
RNA splicing	8	2.2792022792022792	0.07163833711851009	PTBP1, SF3A2, KHSRP, AKAP8L, YJU2, LSM4, SUGP2, SUGP1	334	211	19453	2.2082470130828393	1.0	1.0	1.0
decidualization	3	0.8547008547008548	0.07253479985245735	BSG, JUNB, EPOR	334	26	19453	6.720290188853062	1.0	1.0	1.0
positive regulation of MAPK cascade	7	1.9943019943019942	0.07583411165927888	MYDGF, PRDX2, SHC2, MAP2K2, GDF15, INSR, LPAR2	334	172	19453	2.370334911572204	1.0	1.0	1.0
positive regulation of transcription from RNA polymerase II promoter	29	8.262108262108262	0.07693001880437436	NOTCH3, ZNF493, NFIX, ELOF1, UHRF1, CRTC1, DOT1L, AKAP8L, FSTL3, MYDGF, PTBP1, SBNO2, JUNB, IER2, BRD4, JUND, RFX2, AP3D1, ARID3A, RFXANK, GTF2F1, KLF2, SMARCA4, ZNF91, NFIC, PIN1, TCF3, MPND, SSBP4	334	1232	19453	1.3709682906913445	1.0	1.0	1.0
bone resorption	3	0.8547008547008548	0.07747947326596251	RAB3D, ACP5, ZNF675	334	27	19453	6.471390552228875	1.0	1.0	1.0
in utero embryonic development	8	2.2792022792022792	0.08004164774192568	CAMSAP3, MBD3, ELL, PRKCSH, KEAP1, APBA3, KLF2, SLC39A3	334	217	19453	2.1471894919837746	1.0	1.0	1.0
protein transport	13	3.7037037037037033	0.08112358738094724	ATP13A1, ARRDC2, STXBP2, AKAP8, USE1, SCAMP4, HOOK2, MVB12A, TMED1, APBA3, COPE, ATG4D, AP1M1	334	444	19453	1.7052988617359877	1.0	1.0	1.0
pressure natriuresis	2	0.5698005698005698	0.08271853744734732	CYP4F3, CYP4F12	334	5	19453	23.297005988023955	1.0	1.0	1.0
protein delipidation	2	0.5698005698005698	0.08271853744734732	SIRT6, ATG4D	334	5	19453	23.297005988023955	1.0	1.0	1.0
endosome to lysosome transport via multivesicular body sorting pathway	2	0.5698005698005698	0.08271853744734732	MVB12A, UBXN6	334	5	19453	23.297005988023955	1.0	1.0	1.0
mitochondrial translation	5	1.4245014245014245	0.08273538524199246	GADD45GIP1, MRPL4, NDUFA7, MRPL34, MRPL54	334	96	19453	3.0334643213572856	1.0	1.0	1.0
fatty acid metabolic process	5	1.4245014245014245	0.09021126921886163	C3, ILVBL, CYP4F11, ALKBH7, CYP4F12	334	99	19453	2.941541160104034	1.0	1.0	1.0
regulation of Rho protein signal transduction	3	0.8547008547008548	0.09290999475492703	KANK2, ARHGEF18, MYO9B	334	30	19453	5.824251497005988	1.0	1.0	1.0
entrainment of circadian clock by photoperiod	3	0.8547008547008548	0.09290999475492703	CRTC1, FBXL12, NR2F6	334	30	19453	5.824251497005988	1.0	1.0	1.0
vitamin E metabolic process	2	0.5698005698005698	0.09842476569144872	CYP4F3, CYP4F12	334	6	19453	19.41417165668663	1.0	1.0	1.0
regulation of meiotic nuclear division	2	0.5698005698005698	0.09842476569144872	FZR1, CALR	334	6	19453	19.41417165668663	1.0	1.0	1.0
