Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cell proliferation	6	2.7777777777777777	0.03912568335595725	BOP1, ASPH, MYC, SCRIB, NBN, GRHL2	204	178	19453	3.2143093192333114	1.0	1.0	1.0
Golgi reassembly	2	0.9259259259259258	0.04109590020703659	VCPIP1, YWHAZ	204	4	19453	47.67892156862745	1.0	1.0	1.0
cellular response to hydrostatic pressure	2	0.9259259259259258	0.04109590020703659	MYC, PLEC	204	4	19453	47.67892156862745	1.0	1.0	1.0
positive regulation of protein binding	4	1.8518518518518516	0.0423016927400339	RIPK2, DERL1, STK3, CTHRC1	204	74	19453	5.154478007419184	1.0	1.0	1.0
regulation of neurotransmitter receptor activity	2	0.9259259259259258	0.0511045141324501	SLURP2, PSCA	204	5	19453	38.14313725490196	1.0	1.0	1.0
negative regulation of Golgi to plasma membrane protein transport	2	0.9259259259259258	0.0511045141324501	LYPLA1, ANXA13	204	5	19453	38.14313725490196	1.0	1.0	1.0
negative regulation of proteasomal ubiquitin-dependent protein catabolic process	3	1.3888888888888888	0.05414830288359071	PHF20L1, SDCBP, EIF3H	204	36	19453	7.946486928104575	1.0	1.0	1.0
mRNA transcription	2	0.9259259259259258	0.06100917186808408	EEF1D, HSF1	204	6	19453	31.785947712418302	1.0	1.0	1.0
embryonic skeletal joint development	2	0.9259259259259258	0.06100917186808408	EXT1, OSR2	204	6	19453	31.785947712418302	1.0	1.0	1.0
positive regulation of autophagy	4	1.8518518518518516	0.06629253086231646	DEPTOR, RB1CC1, TP53INP1, MTDH	204	89	19453	4.285745758977749	1.0	1.0	1.0
endosome organization	3	1.3888888888888888	0.06815672321250354	PLEKHF2, LAPTM4B, WASHC5	204	41	19453	6.977403156384505	1.0	1.0	1.0
cytoplasmic translation	4	1.8518518518518516	0.06987559296512758	RPL30, RPS20, RPL8, RPL7	204	91	19453	4.191553544494721	1.0	1.0	1.0
nose development	2	0.9259259259259258	0.07081094788161178	RDH10, CHD7	204	7	19453	27.245098039215687	1.0	1.0	1.0
regulation of cell death	2	0.9259259259259258	0.07081094788161178	EEF1D, YWHAZ	204	7	19453	27.245098039215687	1.0	1.0	1.0
cellular respiration	3	1.3888888888888888	0.07108795608622731	UQCRB, CYC1, COX6C	204	42	19453	6.811274509803921	1.0	1.0	1.0
positive regulation of protein K63-linked ubiquitination	2	0.9259259259259258	0.08051090558872294	RIPK2, UBE2V2	204	8	19453	23.839460784313726	1.0	1.0	1.0
secretion	2	0.9259259259259258	0.08051090558872294	TPD52, CA2	204	8	19453	23.839460784313726	1.0	1.0	1.0
cellular response to hydroperoxide	2	0.9259259259259258	0.08051090558872294	TP53INP1, OXR1	204	8	19453	23.839460784313726	1.0	1.0	1.0
wound healing	4	1.8518518518518516	0.08308201554448823	EXT1, EPPK1, SCRIB, PLEC	204	98	19453	3.892156862745098	1.0	1.0	1.0
positive regulation of JNK cascade	4	1.8518518518518516	0.08505047034978783	SDCBP, RIPK2, RB1CC1, STK3	204	99	19453	3.8528421469597935	1.0	1.0	1.0
double-strand break repair via homologous recombination	4	1.8518518518518516	0.0890466416597403	NSMCE2, TONSL, NBN, SPIDR	204	101	19453	3.7765482430595996	1.0	1.0	1.0
negative regulation of TORC1 signaling	3	1.3888888888888888	0.08948409485829395	UBE2W, DEPTOR, YWHAZ	204	48	19453	5.9598651960784315	1.0	1.0	1.0
peripheral nervous system myelin maintenance	2	0.9259259259259258	0.09011009747134546	NDRG1, PLEC	204	9	19453	21.190631808278866	1.0	1.0	1.0
DNA double-strand break processing	2	0.9259259259259258	0.09960956518380866	UBE2V2, NBN	204	10	19453	19.07156862745098	1.0	1.0	1.0
endosome transport via multivesicular body sorting pathway	2	0.9259259259259258	0.09960956518380866	LAPTM4B, VPS28	204	10	19453	19.07156862745098	1.0	1.0	1.0
