	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
RPL8	1.68663608971355e-83	1.24608379201412	1	0.997	2.87099195191041e-79
RPL18	1.60701681379897e-89	1.22347096474667	1	0.995	2.73546402044861e-85
DUOXA2	4.62002534999825e-38	1.22289501498058	0.3	0.077	7.86420715076703e-34
MIF	2.31434585847752e-84	1.21649097677414	1	0.948	3.93947952030044e-80
RPLP2	2.82817077404882e-91	1.2164273134195	0.995	0.985	4.8141122915859e-87
RPL18A	1.43890896245635e-82	1.20335872912931	1	0.989	2.4493108358932e-78
RPS13	8.44343970317344e-69	1.19891739618244	0.995	0.985	1.43724230627418e-64
RPS5	2.19026319706206e-66	1.19680854122198	0.99	0.98	3.72826601403904e-62
RPS6	3.35956239635804e-60	1.18684392610125	0.995	0.991	5.71864711108065e-56
UBD	1.02157230404994e-19	1.18291736253489	0.393	0.211	1.73892037595381e-15
IGLV1-51	0.791367302493124	1.17627508642636	0.012	0.011	1
RPL7A	1.78716985076962e-55	1.17617033147434	0.998	0.995	3.04212051998005e-51
RPS8	7.26198542454814e-57	1.14459645365661	0.998	0.995	1.23613515896658e-52
RPL14	7.60651745814969e-22	1.14052710252472	0.993	0.991	1.29478140172624e-17
NME2	9.77945089801946e-57	1.13155869629278	0.937	0.916	1.66465813186087e-52
RPL3	1.58722755780612e-46	1.12635153852957	0.995	0.992	2.70177874889758e-42
RPL13	4.80084823461897e-83	1.11908844679225	1	0.995	8.17200386496842e-79
IGKV3-20	5.82391401601848e-12	1.11699649643964	0.115	0.033	9.91346643806666e-08
ALPP	1.00091685900268e-22	1.11620128387813	0.207	0.059	1.70376067739437e-18
RPS24	6.53890721309563e-68	1.11376323550732	1	0.989	1.11305278581314e-63
RPL5	2.96094979041716e-54	1.10895194496911	0.978	0.961	5.04012873324809e-50
RPL28	3.57916839371088e-87	1.10808500474274	0.998	0.996	6.09246043977467e-83
RPL35A	4.43552731732203e-59	1.09804735018615	0.998	0.995	7.55015459954556e-55
RPSA	6.29035439190658e-07	1.09033400826806	0.954	0.95	0.0107074412459034
RPS18	1.04088742660829e-39	1.08387670019183	1	0.998	1.77179857757263e-35
RPS3	3.64363088306483e-52	1.07841101349792	0.998	0.994	6.20218848915295e-48
DUOX2	1.48809491499122e-41	1.07752257499834	0.337	0.092	2.53303516429806e-37
EIF3E	8.10533111337388e-69	1.04991240145489	0.746	0.446	1.3796894621185e-64
RPL17	5.97938543677169e-60	1.04597741392251	0.863	0.601	1.01781098904728e-55
RPL36	2.5988032081273e-72	1.04296628411544	1	0.99	4.42368282087428e-68
RPS2	6.94402040431903e-50	1.04219446460533	0.98	0.905	1.18201115322319e-45
REG4	2.65608321485409e-05	1.02226803153	0.141	0.079	0.452118484832463
RPS23	3.41291880467004e-54	1.02186961490704	1	0.993	5.80947038930934e-50
EEF1B2	4.44904006428352e-51	1.02092460983814	0.959	0.923	7.57315599742341e-47
RPL30	9.67343873624988e-53	0.997775678103386	0.998	0.993	1.64661274168445e-48
NET1	6.95586484448252e-05	0.996671191231209	0.476	0.553	1
CD74	1.1225446618924e-30	0.987888007199666	0.983	0.826	1.91079552347324e-26
CDC42EP5	3.54322679244804e-13	0.98312803698238	0.376	0.269	6.03128064610506e-09
ATP5F1C	2.26197008252743e-41	0.98065931436523	0.768	0.71	3.8503254744782e-37
FAM162A	1.75979420061968e-18	0.972625662451693	0.673	0.625	2.99552168829482e-14
TSPAN8	0.0391038448205087	0.965663551096932	0.444	0.721	1
RPL9	4.67661355165681e-44	0.963440309622575	0.985	0.973	7.96053158763022e-40
EGLN3	1.63260684006989e-43	0.961320728836498	0.437	0.152	2.77902336316697e-39
SPP1	0.268910357784055	0.953756968506022	0.068	0.057	1
SELENOW	1.02399249112376e-15	0.950156373201057	0.871	0.864	1.74304001839086e-11
CCNA1	1.8151558543916e-09	0.94319270007337	0.256	0.156	3.08975829534539e-05
TSPO	2.67566029463852e-42	0.938527686297556	0.907	0.855	4.55450895353368e-38
MYC	1.21481180845597e-83	0.93436363420277	0.502	0.109	2.06785266035376e-79
TSTA3	1.26120614266577e-36	0.929833219156675	0.6	0.367	2.14682509604568e-32
RPLP1	2.65760798229378e-52	0.923061357602891	1	0.997	4.52378030746048e-48
RPL4	8.34935844522388e-45	0.92300016247374	0.956	0.898	1.42122779454601e-40
RPL27A	8.07747488904909e-67	0.92080106101683	0.971	0.829	1.37494777561394e-62
BAG3	1.76323504078756e-33	0.910615537198013	0.507	0.254	3.00137868642859e-29
RPL15	9.78613387462157e-10	0.901660055188278	0.988	0.99	1.66579570813808e-05
RPL34	1.97933424994212e-59	0.89076861024004	0.998	0.992	3.36922276025148e-55
MUC4	5.41016342933222e-11	0.888192165480758	0.466	0.353	9.2091801894093e-07
RNASET2	1.77022431289902e-46	0.887116610573452	0.846	0.69	3.01327582541672e-42
ENO1	1.62311470937188e-28	0.885623339245589	0.907	0.878	2.76286585829282e-24
RPL23A	2.86465152673026e-51	0.885465571497605	0.995	0.983	4.87620982880024e-47
LY6E	8.75278789103354e-17	0.883334981308089	0.915	0.853	1.48989955481173e-12
RPL37	1.02998281867315e-64	0.877865759254493	1	0.995	1.75323675394544e-60
RPL24	6.04196302229412e-43	0.870598683505204	0.995	0.99	1.02846294565491e-38
TNNC1	1.9101152687501e-20	0.866165012341541	0.207	0.066	3.25139821046642e-16
LGALS1	7.55847847012713e-14	0.864924485466171	0.483	0.319	1.28660420518504e-09
SH3BGRL3	2.31614637870788e-15	0.864306423529033	0.898	0.891	3.94254436583655e-11
RPS25	5.56870074328518e-64	0.864054382104216	0.995	0.987	9.47904240522003e-60
APOL1	2.18734655839732e-20	0.863904981592421	0.59	0.431	3.72330131170391e-16
RPS9	3.76502121633252e-49	0.863876129711234	1	0.989	6.40881911444121e-45
RPL10A	6.72621094684524e-30	0.862062204203464	0.988	0.973	1.144935627372e-25
NPM1	8.68048771555974e-36	0.859065688375134	0.949	0.922	1.47759261894258e-31
RPS11	4.87154027777409e-73	0.853674424301089	0.978	0.942	8.29233586082706e-69
RPL23	5.79315754805758e-40	0.853407465474249	0.876	0.779	9.86111277830362e-36
RPL31	4.02126132983951e-59	0.850537632866454	0.988	0.959	6.84499103565282e-55
IMPDH2	1.09251684226744e-06	0.849802912457116	0.449	0.427	0.0185968216890763
RPL11	1.29703378893336e-36	0.841542025714103	0.998	0.998	2.20781091552237e-32
RPL13A	8.65797638182722e-58	0.838678208397746	0.985	0.974	1.47376073971463e-53
SPINK1	0.255833241224203	0.837745978410277	0.446	0.521	1
EEF1D	8.71314052626871e-74	0.836770341711076	0.985	0.946	1.48315078038146e-69
RACK1	4.85232617736171e-53	0.830327481378516	0.993	0.983	8.2596296191051e-49
RPL26	1.97418953714715e-23	0.828922076697399	0.978	0.98	3.36046543013188e-19
KLK11	6.28175174983847e-39	0.820753199694261	0.48	0.21	1.0692797828575e-34
MT1X	2.49323651171833e-07	0.818498320031493	0.363	0.272	0.00424398719024694
RPS15A	9.20765748290459e-46	0.81791162893885	0.998	0.992	1.56732745674002e-41
PGAM1	1.76449141087455e-46	0.811348656352595	0.744	0.499	3.00351727959066e-42
RGS10	6.77308115623685e-26	0.802187380356959	0.322	0.132	1.15291387441464e-21
BNIP3	5.7009026351445e-07	0.79627819329679	0.305	0.23	0.00970407646554297
IDO1	1.19601921114132e-25	0.795261208170165	0.19	0.044	2.03586390120476e-21
RPS3A	2.00219113430007e-35	0.792610207508351	0.985	0.984	3.40812974880558e-31
EIF3H	1.8311547632581e-55	0.788892892432038	0.824	0.639	3.11699163801793e-51
S100A14	0.00110248934962615	0.776967728763818	0.666	0.775	1
RPS10	2.87222678652731e-24	0.768536483729155	0.532	0.362	4.88910443602678e-20
CYSTM1	6.51930935572592e-05	0.768184089654701	0.739	0.837	1
RPS17	8.44987174275323e-39	0.767583779632147	0.637	0.423	1.43833716805146e-34
PLAC8	3.74955786563906e-28	0.765726447851851	0.315	0.116	6.38249739889082e-24
LYZ	0.904438703544465	0.763824136009746	0.434	0.581	1
RPS14	7.33498429435895e-41	0.760937955169632	0.995	0.994	1.24856102658578e-36
EEF2	4.39629335711613e-31	0.750053459695741	0.968	0.888	7.48337055248307e-27
ATP5F1A	1.23354726800129e-44	0.749557466870677	0.683	0.414	2.0997441595918e-40
RPL37A	2.84564649052509e-38	0.742264329812139	0.993	0.982	4.84385945617181e-34
APRT	8.02390688135397e-56	0.741716126844861	0.849	0.661	1.36582942934407e-51
RPS19	2.86624004001601e-40	0.739002839486392	1	0.995	4.87891379611525e-36
IL15RA	1.50499805523648e-59	0.73809712220826	0.339	0.063	2.56180768962354e-55
RPL22	9.0948266651459e-55	0.737505857235628	0.985	0.967	1.54812139494114e-50
RPS28	2.84595293694562e-34	0.728209092557614	0.998	0.992	4.84438108926883e-30
FAU	2.91356446448491e-58	0.724944487389659	1	0.99	4.95946943144622e-54
RPS12	1.41087845922303e-32	0.719566258092937	1	0.995	2.40159731328943e-28
RPLP0	4.09014840963287e-25	0.714453976098864	0.998	0.996	6.96225062287707e-21
LDHA	4.07272281809238e-29	0.713672880242985	0.937	0.861	6.93258878095685e-25
RPL19	1.05186829233549e-38	0.710403083333139	0.998	0.997	1.79049020721348e-34
HLA-DRA	8.35207976273784e-18	0.708271103752038	0.756	0.561	1.42169101721323e-13
HLA-DPA1	3.5978945776396e-32	0.697823856888458	0.559	0.265	6.12433615005812e-28
SERPINH1	8.22046232012217e-10	0.69637915149092	0.493	0.394	1.3992870961312e-05
RPS7	2.08994036559301e-25	0.696120400499856	0.995	0.985	3.55749649031242e-21
HLA-B	3.08158392929882e-14	0.694659859441487	0.995	0.993	5.24547216445245e-10
ATP5F1D	4.8417891073013e-42	0.693659459022257	0.9	0.757	8.24169341844828e-38
DEPP1	2.04444755694831e-37	0.693557863370366	0.368	0.12	3.48005863143741e-33
BTF3	3.15797979789561e-46	0.691867025752102	0.968	0.957	5.3755132119779e-42
RPS27A	1.2808942575752e-29	0.686512619898681	0.995	0.997	2.18033820524451e-25
PLAAT4	1.67583460865375e-11	0.681981761361501	0.549	0.466	2.85260567085041e-07
MUCL3	1.16464624541859e-48	0.671613273645381	0.168	0.01	1.98246083895153e-44
LDHB	1.46730208770469e-53	0.671142722144641	0.285	0.046	2.49764161369092e-49
RPL35	2.39909257383016e-41	0.670762867202336	0.993	0.99	4.08373537917369e-37
CLIC3	7.97084892699913e-23	0.670403542707963	0.305	0.121	1.35679790435379e-18
EEF1G	1.10191477148758e-40	0.664047340680872	0.588	0.3	1.87567932402615e-36
NACA	1.09959368264819e-42	0.662143706534716	0.983	0.978	1.87172836660375e-38
HILPDA	2.48814320186327e-06	0.660106011839959	0.256	0.169	0.0423531735821166
ATP5MD	4.31294184940096e-47	0.660037628975904	0.9	0.822	7.34148961605031e-43
RPS15	2.58519196337679e-42	0.659142228721583	1	0.992	4.40051376005997e-38
MUC3A	3.38089865951931e-11	0.656606446653056	0.388	0.253	5.75496569823377e-07
SLC25A6	2.28279470064769e-26	0.654367090861512	0.927	0.842	3.88577313944249e-22
HSPD1	1.97173742185953e-15	0.652301517409276	0.922	0.857	3.35629143948929e-11
MT2A	0.605199947080906	0.64716621020688	0.471	0.492	1
COTL1	2.76950528303281e-31	0.64683947726599	0.532	0.281	4.71425189277845e-27
S100P	0.0649391365875319	0.641415489442477	0.498	0.53	1
AKAP12	0.740490317789267	0.636099919767374	0.137	0.141	1
RPL6	9.65789114909116e-28	0.634822298922947	0.993	0.984	1.6439662313983e-23
BEX3	7.14724771642417e-74	0.633217714854025	0.5	0.105	1.21660450628972e-69
RPS4X	7.29699672251762e-22	0.632778146055954	1	0.993	1.24209478210695e-17
UQCRB	1.00361807350169e-20	0.620839361040142	0.915	0.853	1.70835868471457e-16
IGHV4-34	0.00735514526404791	0.61802972705809	0.02	0.006	1
CHCHD10	4.81403087142029e-22	0.609153304831915	0.661	0.533	8.19444334933163e-18
EEF1A1	1.83035080838046e-24	0.60517778625628	1	1	3.11562314602522e-20
GAPDH	2.76519916967662e-22	0.601880572448724	1	0.999	4.70692202662354e-18
MT1G	0.78449220445795	0.598220171658137	0.171	0.192	1
CXCL17	2.11718507851972e-09	0.59744253192302	0.449	0.312	3.60387244065627e-05
EPS8L1	1.12695481367293e-06	0.597390201814513	0.473	0.435	0.0191830248383406
MT-ND2	3.94188426049581e-10	0.596584011114451	0.956	0.967	6.70987538821597e-06
C19orf33	0.119565512342767	0.595305838008497	0.578	0.886	1
RPL39	8.58858960884689e-28	0.588075863968483	0.995	0.994	1.46194972321792e-23
LMO4	6.67264274036421e-17	0.587668906132502	0.373	0.213	1.1358172472648e-12
SOX17	7.00385111277713e-05	0.581101504111698	0.278	0.214	1
CSTB	2.1959060255027e-05	0.576405043619125	0.944	0.96	0.373787123661069
RPS20	1.12355478188374e-20	0.571043205664528	0.856	0.748	1.91251494972251e-16
C4orf48	1.69127657351334e-13	0.569166673036568	0.737	0.71	2.87889098343441e-09
MUC1	7.86011773544428e-06	0.567269251319816	0.678	0.77	0.133794924092733
LRIG1	1.66125994954307e-22	0.564641186450348	0.249	0.087	2.82779668611222e-18
NAPRT	0.00349488681662784	0.557237110725971	0.434	0.474	1
SNRPD2	1.80920914211204e-33	0.553202438199521	0.932	0.876	3.07963580170312e-29
FBH1	6.24489257843402e-47	0.551518629708081	0.38	0.106	1.06300561470104e-42
AKR7A3	2.58242889508958e-10	0.551431206207292	0.346	0.225	4.39581046522149e-06
RAC1	0.128044215372199	0.537728655193866	0.859	0.917	1
NME1	2.36840417456553e-26	0.536933524734132	0.493	0.273	4.03149758594545e-22
HLA-DPB1	3.19837993344654e-23	0.536610484070961	0.515	0.267	5.4442823227127e-19
MRPL41	7.13486314749931e-30	0.533135973343194	0.634	0.411	1.21449640496733e-25
RPS21	9.77110715132362e-14	0.530178292183284	0.998	0.997	1.66323785929831e-09
GOLM1	1.5132082802703e-07	0.528834203580821	0.51	0.474	0.00257578313467611
ARL14	1.52360166834332e-13	0.526856519423061	0.273	0.136	2.593474759854e-09
MRPS21	1.59458316653963e-33	0.52504249503543	0.702	0.391	2.71429946608376e-29
PDZK1IP1	7.17589891359313e-05	0.523642726591295	0.466	0.746	1
NTS	4.73938879196975e-28	0.520192245330918	0.071	0	8.0673876016909e-24
MYL12A	4.61855656088174e-19	0.517352650600921	0.88	0.831	7.8617069779329e-15
CXCL10	0.00681499173485905	0.50687338955866	0.076	0.045	1
ENY2	4.06423564326152e-18	0.503218310010229	0.71	0.622	6.91814191195976e-14
MMP28	1.1172273419584e-19	0.501259622834639	0.28	0.117	1.9017443814816e-15
HSPA8	3.8996892677559e-16	0.499839678364989	0.976	0.967	6.6380510715741e-12
PLEKHS1	3.26853409258057e-17	0.49916476226365	0.351	0.175	5.56369873239065e-13
B2M	1.3655178814018e-06	0.495012157553391	1	0.999	0.0232438453772214
AK4	8.6527466313405e-44	0.492784165401473	0.417	0.133	1.47287053158678e-39
HSPA1B	1.1077944293272e-10	0.492569549671032	0.963	0.912	1.88568767760077e-06
SCGB2A2	0.14059825198854	0.49243804439746	0.022	0.012	1
SQLE	3.59094433182615e-10	0.490190709173866	0.42	0.285	6.11250544163447e-06
CRYAB	0.200890190699141	0.484572268498053	0.11	0.141	1
SULT1C2	4.68199327354052e-16	0.483403451048328	0.288	0.135	7.96968895022067e-12
FOXA3	1.97865834991444e-07	0.482348781805193	0.322	0.241	0.00336807224322436
FCGBP	1.3921099286939e-35	0.481432217194157	0.066	0.411	2.36964952062275e-31
RBM17	7.64987260228807e-16	0.481429032760256	0.59	0.496	1.30216131436148e-11
ARHGDIB	4.73047483646476e-12	0.477091181194249	0.305	0.158	8.05221426663031e-08
CBLC	4.10815537730073e-18	0.471401254478824	0.454	0.276	6.99290208324131e-14
RPL27	2.55477084619879e-15	0.470776820603259	0.976	0.974	4.34873093439957e-11
PPP1R16A	4.5180294686664e-22	0.467969910809136	0.468	0.264	7.69058976156395e-18
CYC1	3.25944969306329e-17	0.467302387269469	0.639	0.553	5.54823526753234e-13
GRINA	9.32985808507883e-22	0.467098199774884	0.602	0.418	1.58812844324212e-17
VSIG2	0.0010223621398139	0.460143553443715	0.322	0.272	1
CALML4	8.29974515139207e-22	0.46000229165144	0.502	0.279	1.41278261966996e-17
TYMP	2.39531813120195e-05	0.457380608355138	0.559	0.501	0.407731052293195
NDUFV3	9.40087355632572e-28	0.457154924697975	0.427	0.196	1.60021669675776e-23
SRD5A3	3.79920638876277e-11	0.454714729188349	0.51	0.385	6.46700911495199e-07
COX5A	2.74213384775968e-14	0.4532186776701	0.871	0.857	4.66766023565653e-10
GLYATL2	2.01979336736193e-51	0.45066999639736	0.173	0.009	3.43809226992348e-47
VDAC2	1.80500082178671e-16	0.450668493489049	0.683	0.63	3.07247239884535e-12
C4orf3	3.51789560206253e-21	0.447980273031636	0.7	0.514	5.98816189383084e-17
CDC123	1.58048199579986e-18	0.447545021011245	0.451	0.269	2.69029645325052e-14
PSMB9	2.96767636069585e-14	0.447252779727077	0.761	0.622	5.05157870117647e-10
PKHD1L1	8.90034630021862e-33	0.444347734626287	0.222	0.046	1.51501694722321e-28
PDLIM1	2.89038453618395e-11	0.442526296639971	0.7	0.734	4.92001255749231e-07
MLPH	5.33712556723106e-10	0.440812884187139	0.622	0.578	9.08485514054071e-06
NUDT5	1.91500476295516e-15	0.436265546922472	0.51	0.36	3.25972110750227e-11
UQCRH	4.45962099513608e-17	0.436037962585328	0.888	0.878	7.59116685792064e-13
HSPA1A	7.29800185491002e-10	0.435981604630005	0.746	0.587	1.24226587574278e-05
TCEAL9	1.86224296305109e-36	0.434390591465597	0.305	0.078	3.16990997170556e-32
TIMM8B	2.7228238580922e-16	0.431134804470932	0.622	0.532	4.63479077124454e-12
EIF4A2	4.94202664760894e-17	0.429057047288728	0.885	0.803	8.41231775955993e-13
UBA52	5.20160384587346e-25	0.427603337904076	0.985	0.977	8.8541700664458e-21
PLEC	0.445054857228573	0.427570267558155	0.476	0.539	1
LPCAT4	3.01482097173654e-12	0.427196537281374	0.415	0.279	5.13182825808994e-08
PCBD1	3.51585809323647e-14	0.427099024538619	0.668	0.659	5.98469364630713e-10
VWA1	4.20035957869989e-29	0.426428409065711	0.385	0.155	7.14985207486296e-25
CCL2	1.44671895748842e-05	0.425406549709411	0.083	0.034	0.246260500943678
HOXB6	2.04298845401621e-19	0.423827656159494	0.529	0.331	3.47757494642639e-15
EYA2	1.2055327844821e-17	0.421863771531421	0.254	0.102	2.05205790574543e-13
IFITM3	5.38881999751808e-12	0.420871913043254	0.949	0.954	9.17284939977527e-08
KRT7	3.9374632559733e-05	0.420097305641986	0.78	0.74	0.670234995431775
WARS1	5.43295544501477e-08	0.41898542588015	0.373	0.27	0.000924797675850414
EIF3F	7.18603466741281e-20	0.414567164680257	0.759	0.62	1.22320682108701e-15
POLR2L	8.97704078347121e-19	0.414127940231617	0.859	0.758	1.52807188216247e-14
NOP16	9.42481756680759e-29	0.413756162912042	0.4	0.167	1.60429244622199e-24
THOC7	3.14300514447496e-20	0.409155334060814	0.561	0.367	5.35002335692528e-16
CGB5	0.46985996674778	0.406050842175661	0.034	0.042	1
RPL41	1.4329153089765e-13	0.404375927699056	0.998	0.999	2.43910843893981e-09
COX7C	9.3056664630586e-21	0.403046160150728	0.971	0.97	1.58401054534183e-16
CALCRL	1.07193052160968e-59	0.401901457611977	0.166	0.002	1.824640133884e-55
IFITM2	2.34053886060587e-20	0.401559583532814	0.595	0.351	3.98406524852331e-16
EIF3M	3.09032072043629e-15	0.40140458823273	0.561	0.419	5.26034393032666e-11
NDUFB9	1.37271934103417e-11	0.400735770201379	0.78	0.837	2.33664286230837e-07
PGK1	4.05835993561996e-05	0.400407712872234	0.841	0.841	0.69081402824123
EIF4B	3.30087636666609e-16	0.398691701674327	0.598	0.436	5.61875175133901e-12
LYPLA1	3.38064800218499e-16	0.398210993695036	0.483	0.316	5.75453902931928e-12
TIMM13	1.66245414351589e-13	0.397989993611747	0.646	0.551	2.82982944309274e-09
UPF2	1.36945997047639e-18	0.397428891932041	0.439	0.251	2.3310947617449e-14
DDIT4	0.00286266802392853	0.396991119323515	0.722	0.69	1
DDX21	5.28413336341874e-20	0.393010984737682	0.527	0.323	8.99465181121138e-16
SHROOM3	3.13830148571563e-23	0.391709994793239	0.473	0.245	5.34201678898514e-19
NDUFA4L2	2.13458678194764e-13	0.390082012321495	0.063	0.008	3.63349362023127e-09
ADAM9	4.59519300197562e-15	0.387580386036278	0.495	0.326	7.8219375279629e-11
KCNE3	3.57081018537981e-16	0.38742338573292	0.271	0.122	6.07823309755352e-12
VPS28	2.16622821902718e-11	0.386140400121396	0.668	0.61	3.68735367442807e-07
SERPINA1	0.380186340571806	0.3856493284963	0.598	0.613	1
SCD	5.37841849819179e-19	0.384870354593473	0.385	0.188	9.15514396762207e-15
PPA1	6.92988488812438e-09	0.384405194170005	0.724	0.8	0.000117960500565653
ATP5ME	2.93862498526143e-20	0.383251659981194	0.805	0.729	5.00212744991201e-16
MYL12B	4.17247617620459e-12	0.382120778346796	0.939	0.932	7.10238894713546e-08
NPDC1	5.74791646480618e-14	0.38152204557683	0.498	0.328	9.78410340639308e-10
SH3YL1	4.79870141653132e-12	0.379563809859561	0.6	0.49	8.16834955121961e-08
IGHG1	1.06797954552584e-40	0.376869092275253	0.315	0.073	1.81791478239409e-36
CCDC85B	7.69703914824919e-29	0.376833126597631	0.317	0.107	1.31019000381498e-24
B4GALT1	0.000491848177819852	0.376240685667725	0.451	0.401	1
HCLS1	5.20851322137994e-31	0.375548557057427	0.21	0.043	8.86593120543293e-27
RSL1D1	1.79058063409189e-13	0.374931186002201	0.493	0.347	3.04792635535121e-09
TPI1	4.48206834612018e-11	0.374732290938993	0.954	0.967	7.62937673876578e-07
TATDN1	6.78445832977371e-24	0.374640559866838	0.478	0.25	1.15485049689408e-19
ERO1A	0.000155589311443739	0.374410464330776	0.463	0.394	1
TAF1D	9.65841130081786e-17	0.371015816942826	0.598	0.414	1.64405477162522e-12
IFITM1	0.00581949816393987	0.370704641698932	0.805	0.803	1
YBX1	3.06689100911483e-09	0.368565048603027	0.91	0.87	5.22046187571526e-05
CREB3L1	8.2416741979147e-06	0.367960778419999	0.317	0.242	0.140289778196904
C1QBP	0.0324133642200898	0.367074262067456	0.49	0.536	1
REEP3	2.10435968299594e-12	0.365631212931134	0.434	0.29	3.58204105239569e-08
LRATD2	3.30105794936656e-31	0.364484500046745	0.344	0.116	5.61906084141176e-27
RNF145	6.88464141073577e-16	0.363329200620175	0.4	0.227	1.17190366093544e-11
H2AJ	6.60154414531671e-14	0.36122421678894	0.62	0.473	1.12371484441581e-09
NHP2	2.18924645513829e-07	0.361075649662226	0.595	0.567	0.0037265353159364
ANPEP	0.0485404808682014	0.360723851475307	0.217	0.301	1
KLK10	0.000816490618539648	0.360321985907996	0.361	0.3	1
BRK1	9.49708322685806e-14	0.360223556008991	0.807	0.744	1.61659350687578e-09
BCAS1	3.80104803770006e-10	0.359787260243703	0.31	0.188	6.47014396977305e-06
CORO1A	2.74349811215423e-07	0.359647819295914	0.171	0.089	0.00466998248650893
HMGA1	3.34321216574388e-05	0.357087827266634	0.646	0.645	0.569081574852923
EXOSC4	2.7016713378208e-18	0.356515796996536	0.437	0.249	4.59878495123857e-14
TMA7	0.00153169065895975	0.355236694272715	0.924	0.938	1
CAPN8	9.68790491792631e-05	0.354369628810977	0.376	0.325	1
GPI	2.64063166605199e-08	0.351865637001306	0.656	0.643	0.00044948832219537
MRPS25	5.14536716906442e-10	0.351225102004573	0.371	0.247	8.75844399518145e-06
CLDN18	8.89001085502465e-45	0.351187036741495	0.115	0	1.5132576477423e-40
CEBPD	2.34806093508355e-17	0.34934989776268	0.461	0.263	3.99686932369921e-13
ADAM15	1.30523437851026e-15	0.348494516771978	0.493	0.318	2.22176995910017e-11
MRPL13	2.44948660545204e-12	0.346091040866834	0.566	0.444	4.16951609980045e-08
POLD4	7.79168557761119e-05	0.346022625947941	0.485	0.471	1
CLNS1A	1.01417362350084e-14	0.345568039061356	0.478	0.315	1.72632634192314e-10
ELP3	1.49581786926178e-07	0.344830189878591	0.237	0.143	0.0025461811770574
MRPL23	1.36098968073011e-12	0.343436656495265	0.356	0.217	2.31667663453879e-08
IGHV3-43	6.80815634605688e-07	0.342887713523009	0.015	0	0.011588843732258
SRGN	0.000853650343493273	0.342859507564344	0.256	0.182	1
ASRGL1	0.000144158905659818	0.342788515907253	0.376	0.604	1
SERBP1	8.03169269773212e-11	0.342016871718581	0.783	0.729	1.36715473100796e-06
TUBB3	1.50631050373906e-13	0.34173478176047	0.227	0.099	2.56404173946463e-09
MT-ND4	0.00449873925542054	0.340635283909085	0.973	0.989	1
TNK2	1.82824302102366e-15	0.340397052999187	0.271	0.124	3.11203527038648e-11
NDRG1	0.964978172821211	0.33829793905531	0.327	0.354	1
TOMM20	2.87404951341432e-08	0.337973491559532	0.602	0.577	0.000489220708173386
RHOC	0.192885837014568	0.337426584038983	0.559	0.67	1
MT-CYB	0.000516656079855321	0.334885335711856	0.988	0.992	1
FABP5	3.48583102646497e-07	0.334453126252463	0.334	0.232	0.00593358157324867
KLK7	1.81634375813163e-22	0.334190321057471	0.117	0.017	3.09178034509167e-18
VSIG1	6.1494915332894e-62	0.334119006306193	0.18	0.004	1.04676644879652e-57
SERPINB1	0.000871841931798881	0.333725985009541	0.717	0.769	1
RPL21	7.20560916823157e-06	0.332091358673831	0.976	0.986	0.122653879261638
RGS16	7.05686732061513e-11	0.330423881621591	0.161	0.065	1.20121995531511e-06
SORD	1.45806895671393e-10	0.329784362525439	0.512	0.371	2.48192497811845e-06
