Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cell cycle	GOTERM_BP_DIRECT	61	3.3608815426997243	1.3253820437765528e-06	CDKN1C, ANKLE2, SMARCB1, RIF1, CCDC124, USP39, SMC4, TRIOBP, ING4, PPP1CB, RPS6KA3, PPP1CC, RASSF2, CHAF1A, RASSF4, PIM1, EP300, PIM3, MAP3K8, APPL2, ANAPC7, DUSP1, DYNLT3, PRPF40A, MLF1, CDC25B, HCFC1, TFDP2, PARD3, DDIT3, SPECC1L, FAM32A, MCM5, ANAPC5, AJUBA, MCM2, ARF6, RALB, TSG101, SRC, UHRF1, NEDD9, TP53BP2, MAPK1, LRIG3, PAK4, GADD45GIP1, RBM38, CDT1, PRNP, CENPV, CDKN2A, BOD1, USP9X, USP22, SIAH2, KLK10, KRT18, MDM2, CDK2AP1, PIN1	1696	366	19453	1.9116548742138364	0.007527533174064183	0.0006869093665063752	0.0006765472887095768
negative regulation of transcription, DNA-templated	GOTERM_BP_DIRECT	87	4.793388429752066	1.4995922685827052e-06	CDKN1C, KDM5C, CITED2, GMNN, CBY1, NKAP, PTPRK, CHD3, TNF, ING4, MECP2, HHEX, LBH, SUMO1, YWHAQ, BCL7A, SOX9, YAF2, PITX1, PIAS4, KLF10, KLF11, ZGPAT, RBFOX2, DNMT3A, ARID5A, PPHLN1, CBFA2T2, TLE5, NCOR2, HIC2, EID2, TFDP2, ZNF639, THAP7, DDIT3, SRSF2, TIMELESS, CRY1, TRIB3, PLCB1, HDAC5, HDAC2, L3MBTL2, SRC, PDGFB, HDAC9, TOB1, FOXO1, HDAC6, RELB, SBNO2, RASD1, IFI16, NACC2, NACC1, ZNF503, HES1, SUDS3, PATZ1, XRCC6, NIBAN2, CDKN2A, XRCC5, SIAH2, NONO, NR1D2, NR1D1, NR2F2, PARP14, KLF4, PML, GATAD2A, SMARCA4, PER2, HNRNPL, PER1, BMP2, PSMC5, ID2, ID1, BHLHE40, ID4, MDM2, MAP3K10, ZNF217, LIMS1	1696	591	19453	1.688466741691409	0.008512741596438222	0.0007124312935991668	0.0007016842156743243
defense response to virus	GOTERM_BP_DIRECT	44	2.4242424242424243	2.67957716124081e-06	RTP4, SPON2, IFI6, IFIT1, IFIT3, PQBP1, OASL, IFIH1, HERC5, IFI16, DHX36, ZC3H12A, PCBP2, IKBKE, APOBEC3C, IFNAR2, CXADR, APOBEC3G, IFNGR1, STAT1, IFNGR2, MX2, EIF2AK2, ISG15, TICAM1, UNC13D, ISG20, BST2, SLFN13, PLSCR1, OAS1, IFI27, OAS2, IL23A, OAS3, DDIT4, IRF7, F2RL1, IRF5, POLR3H, LSM14A, SHFL, BCL2L1, APOBEC3B	1696	236	19453	2.1384613847137834	0.015160199243830831	0.001175097645864143	0.0011573712123359346
signal transduction	GOTERM_BP_DIRECT	162	8.925619834710744	3.0989670019265617e-06	IL1RN, METRNL, CXCL16, CRKL, RPS6KA3, ARHGAP42, STK11, PPP4R1, RASSF2, ALCAM, GRB14, RASSF3, RASSF4, RPS6KA2, AKT2, RASSF6, TNFSF10, TOM1, GRB10, CCN3, SOX9, CCN2, CCN1, SH3GL1, MAP2K3, DAPK1, CSNK1D, VRK2, CSNK1E, GTPBP1, PRKAB1, GEM, BCR, IL23A, FEZ2, ULK1, IGFALS, PLPP2, HDGFL3, OPTN, CSNK1G2, PTGES, GRB7, NDRG3, CRABP2, PXN, STK39, TNFRSF11B, RASAL1, AKAP17A, KALRN, PLCXD2, CORO1C, RAP1B, C3, FAM83F, TP53BP2, IGFBP6, RHPN2, MAP2K7, SRGAP1, TNFSF15, TNFRSF10B, GNG11, IGF2R, NFKB2, MFHAS1, NR4A1, MOB1A, AFDN, BMP1, PTK7, CDK4, TOLLIP, NF1, PI4KA, TNFSF9, MAP3K10, NFKBIB, GSK3B, CXCL8, GDI1, YWHAB, SECTM1, PTPRK, SHB, ARHGAP5, RND3, PITPNC1, RND1, AKAP12, YWHAQ, IMPA2, NCK2, RAC2, TMED1, CLIC1, APPL2, NCK1, YWHAH, ANXA1, RIPK2, IFNGR1, ANXA4, PPP2R5B, PLAUR, RHOF, RANGAP1, RHOD, GNL1, RHOB, VAV2, DNM2, ARHGAP10, HSH2D, RAP2B, GPRC5A, CEACAM7, TRAF4, CEACAM6, PLCB1, TRIM54, MET, TNFRSF21, RHOQ, RAPGEF3, GRN, RALB, CAB39, INPP1, SRC, NEDD9, PRKX, RASIP1, TYMP, GNA13, RASD1, GNA11, SH3BP2, MAPK1, STAT6, PAK4, IL32, CMTM7, GABRP, RANBP1, CMTM3, GDF15, RYK, STAT1, CCL20, MACC1, TXNRD1, ERBIN, P2RX4, FAS, KRAS, HDGF, PKN1, CCL28, BCAR1, SIPA1	1696	1307	19453	1.4216744741666791	0.017512087637125306	0.0012595355051091815	0.0012405353203276714
negative regulation of viral genome replication	GOTERM_BP_DIRECT	16	0.8815426997245178	3.313985717705266e-06	APOBEC3C, APOBEC3G, EIF2AK2, ISG15, IFIT1, TNF, OASL, IFIH1, BST2, ISG20, PLSCR1, IFI16, OAS1, OAS2, OAS3, SHFL	1696	45	19453	4.078197064989517	0.01871570863536165	0.0012595355051091815	0.0012405353203276714
phospholipid transport	GOTERM_BP_DIRECT	15	0.8264462809917356	5.0878095765407185e-06	OSBPL8, SCARB1, TMEM30A, PITPNB, PITPNA, ATP10B, PCTP, TRIAP1, PITPNC1, OSBPL10, PITPNM1, VAPA, ESYT1, LDLR, ATP9A	1696	41	19453	4.196315577542569	0.028589049455900017	0.0018128501497411647	0.0017855031732672585
cell adhesion	GOTERM_BP_DIRECT	82	4.5179063360881555	5.815225805445538e-06	DDR1, ITGB1, COL18A1, SPON2, ITGB5, ITGA2B, ATP2A2, LAMC2, PTPRK, SLC7A11, ARHGAP5, CLDN2, RND3, CLDN1, CX3CL1, ICAM1, CDH6, LGALS4, ADGRE2, ALCAM, CLDN23, SIRPA, DGCR6L, ITGB8, ITGAV, CCN3, CCN2, ITGB6, CCN1, HABP2, DGCR2, TNFRSF12A, DST, ITGA3, ITGA2, PRKCA, ATP1B1, RHOB, CLDN10, CLDN4, CLDN3, PARD3, COL6A1, PXDN, NINJ1, SPECC1L, LY6D, IGFALS, CD47, MFGE8, CDH16, CD44, EPHA2, ARF6, SRC, PXN, LAMA3, AMIGO2, NEDD9, PRKX, DPP4, EFNB1, ADGRG1, IGFBP7, HES1, MPZL3, IL32, JUP, MUC16, LAMB3, ERBIN, LAMB1, AFDN, KITLG, PPFIBP1, THEMIS2, PTK7, TGFBI, CD24, PCDHB9, BCAR1, NECTIN1	1696	566	19453	1.6617211980798718	0.03260917102357608	0.001856856703105213	0.0018288458845703863
positive regulation of cell migration	GOTERM_BP_DIRECT	47	2.5895316804407718	5.86272946077773e-06	ITGB1, GRB7, RIPOR1, GRN, SEMA7A, ONECUT2, PDGFB, NEDD9, LAMC2, CLDN1, ACTG1, CXCL16, MIEN1, DDRGK1, AKT2, MGAT5, ITGAV, EPHB2, CCN1, MAP4K4, SPAG9, ACVR1, SUN2, EDN1, MMP7, SMAD3, SPHK1, INSR, RDX, DAPK3, LAMB1, PRKCA, ACTN4, SSH2, ELP5, RHOD, F3, VEGFA, TJP1, BMP2, CLDN4, CLDN3, CEACAM6, MYADM, F2RL1, BCAR1, EPHA2	1696	267	19453	2.019051215461805	0.032871124258216484	0.001856856703105213	0.0018288458845703863
negative regulation of cell proliferation	GOTERM_BP_DIRECT	70	3.8567493112947657	6.504204749333684e-06	DDR1, COL18A1, CDKN1A, BTG2, BTG1, SMARCB1, CXCL8, SERPINE2, PDCD5, PTPRK, IFI35, IFIT3, ING4, STK11, RASSF3, ADAMTS1, RPS6KA2, FTH1, NCK2, QSOX1, SOX4, KLF10, KLF11, KLF13, DUSP1, IGFBP3, SIRT6, HSPG2, PLAAT4, CLDN3, ITGB1BP1, ULK1, NUPR1, PTGES, TSG101, SRF, TOB1, DNAJB2, ADGRG1, MNT, SCIN, ATG101, TMEM127, NACC2, ZNF503, SH3BP4, IGFBP7, UTP20, IGFBP6, TP53I11, RBM38, NIBAN2, SMAD3, FZD5, CDKN2A, LIF, EIF2AK2, KLF4, PML, CHERP, FOSL1, BMP2, DLG3, SST, PRKRA, WNK2, NF1, NF2, COPS8, FRK	1696	462	19453	1.737868067467124	0.036401525979472986	0.0019516037513658594	0.0019221636667109809
actin filament bundle assembly	GOTERM_BP_DIRECT	14	0.7713498622589532	7.716763201945488e-06	DMTN, SWAP70, ACTN1, NEDD9, BAIAP2, RHOD, LIMD2, MYO1B, MARCKS, NCK2, PLS3, LCP1, EZR, NCK1	1696	37	19453	4.339973227944926	0.04303976178617086	0.0021536941017085928	0.00212120546940778
integrin-mediated signaling pathway	GOTERM_BP_DIRECT	26	1.4325068870523416	7.933270678105675e-06	ITGB1, LAMA5, SEMA7A, ITGB5, SRC, CUL3, LAMA3, ITGA2B, NEDD9, ADAMTS1, ITGB8, ITGAV, CCN2, ITGB6, ILKAP, VAV3, DST, ITGA3, ITGA2, ERBIN, PTPN11, ISG15, MYH9, ITGB1BP1, CD47, BCAR1	1696	111	19453	2.686650093489716	0.044220227094381226	0.0021536941017085928	0.00212120546940778
actin filament organization	GOTERM_BP_DIRECT	32	1.7630853994490356	9.473676095098893e-06	RND3, TRIOBP, RND1, CORO1C, CNN2, MPRIP, TMSB4X, MYO6, NCK2, RAC2, TMSB10, NCK1, GSN, TPM4, ACTN1, TPM1, HIP1R, MYO7B, SORBS2, RHOF, RHOD, RHOB, MAD2L2, MYO1E, MYO1B, MARCKS, TRPV4, TAGLN2, RHOU, RHOQ, DBN1, BCAR1	1696	155	19453	2.367985392574558	0.052577067678961316	0.0024549739735526717	0.002417940512453649
negative regulation of apoptotic process	GOTERM_BP_DIRECT	78	4.297520661157025	1.0844805903578822e-05	GSK3B, CDKN1A, ANKLE2, SYCP2, CITED2, FHL2, SLC40A1, TRIAP1, TNF, SH3RF1, CX3CL1, IFIT3, PTMS, RPS6KA3, MYDGF, ARHGDIA, AKT2, PIM1, PIM3, SOX9, CCN1, TGM2, IER3, ANXA1, DAPK1, SPHK1, ANXA4, PLAUR, MITF, PRLR, RNF144B, ARHGAP10, DDAH2, FKBP8, NUPR1, CD44, FAIM, BIRC3, PSMD10, HDAC2, SRC, HPN, AMIGO2, IFI6, XIAP, TGFA, FOXO1, HSP90B1, SOCS3, PRDX5, MIEN1, NUAK2, DDRGK1, FLNA, MAP4K4, STAT5A, PLK3, PRNP, EGR3, NIBAN2, SMAD3, UBE2B, SIAH2, HIP1R, WNT7A, ASNS, EIF2AK2, CFLAR, VEGFA, TJP1, KRT18, PROC, TCIM, ID1, MDM2, UBE2O, FAS, BCL2L1	1696	540	19453	1.6567675576519914	0.059954098667782015	0.002688097324187081	0.0026475471803737
ubiquitin-dependent protein catabolic process	GOTERM_BP_DIRECT	48	2.6446280991735542	2.2206920726017225e-05	RNF34, PSMD11, RNF13, PSMD14, UHRF1, USP32, CUL3, USP11, USP12, UBR4, KEAP1, RNF7, UBE3B, FBXO21, USP18, RNF5, UBE2L3, HERC5, PSMD9, RNF213, RNF114, OS9, UBD, TP53INP2, TRIM25, UFD1, PSMF1, RFFL, FBXO7, GET4, UBL4A, UBE2B, USP9X, SIAH2, USP22, ADRM1, CHFR, RBX1, MIB1, RNF144B, SPSB2, RNF126, CDC34, NPLOC4, UBE2S, TOLLIP, MDM2, UBA1	1696	289	19453	1.905040151465692	0.11891666028619875	0.005191611469226021	0.0051132956322933005
actin cytoskeleton organization	GOTERM_BP_DIRECT	41	2.2589531680440773	2.276623166648843e-05	SRF, RND3, EHBP1, CORO1C, FGD6, NUAK2, PACSIN2, FLNA, PHACTR2, WASF2, PDLIM4, SPTBN1, GAS2L3, ANXA1, CXADR, DMTN, IQSEC2, ACTN1, DTNBP1, MRTFA, FOXJ1, ACTN4, SSH2, BCR, TJP1, PDCL3, CLDN3, PTK7, TRPV4, SPECC1L, NF1, MYH9, KRAS, AMOTL2, RHOU, TNIK, NF2, EZR, UTRN, RAN, PFN2	1696	232	19453	2.027013358002603	0.1217216991102017	0.005191611469226021	0.0051132956322933005
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	GOTERM_BP_DIRECT	13	0.7162534435261708	3.1730806195149114e-05	CEBPB, APAF1, TNFRSF10B, PML, BBC3, ERN1, AIFM1, DDIT3, DNAJC10, BAX, TRIB3, CHAC1, ATF4	1696	36	19453	4.1419188941299785	0.16548135731865174	0.006957589466097889	0.006852633722529318
endocytosis	GOTERM_BP_DIRECT	36	1.9834710743801651	4.72692247190964e-05	ITSN2, MARCHF2, EHBP1, RAB22A, EEA1, MICALL1, MYO6, TOM1, SH3BP4, SNX9, LDLR, WASF2, ATP9A, SYNRG, HIP1R, CSNK1D, EPS15L1, CSNK1E, DNM1, DNM2, MIB1, EHD1, MYO1E, NPC1, BIN1, RAB34, AAK1, UNC119, RHOU, OCIAD2, RAB17, RHOQ, CSNK1G2, RAB7A, BCL2L1, PICALM	1696	199	19453	2.0749620745235613	0.23622972287632715	0.009980809263835872	0.009830248029545418
response to hypoxia	GOTERM_BP_DIRECT	33	1.818181818181818	5.065278937132237e-05	CITED2, SRF, TNF, HSP90B1, DPP4, MECP2, FUNDC1, LONP1, HMOX1, EP300, SOX4, EGR1, ADSL, EGLN2, SMAD3, APAF1, ITGA2, LIF, CYBA, ACTN4, ATP1B1, HSPG2, PML, FOSL2, VEGFA, BMP2, CLDN3, TRPV4, DDIT4, NF1, PIN1, CD24, AJUBA	1696	176	19453	2.1506117334905657	0.2508221442139422	0.010199340890619395	0.01004548309083107
proteasome-mediated ubiquitin-dependent protein catabolic process	GOTERM_BP_DIRECT	39	2.1487603305785123	5.188228132397168e-05	GSK3B, RNF34, PSMD11, PSMD14, CUL3, ZFAND2B, TNFAIP1, PSMD8, DNAJB2, ZNRF1, PPP2CB, PSMB3, PSMD2, PCBP2, PSMB1, PSMF1, TBL1X, RFFL, FBXO7, UBE2B, SIAH2, ADRM1, HUWE1, RAD23A, PML, RBX1, NSFL1C, SPSB2, PSMC5, RNF126, CDC34, TRAF4, UBXN11, IFI27, PSMC4, DDIT3, MDM2, RBCK1, NFE2L2	1696	224	19453	1.9969966096698115	0.2560552881852102	0.010199340890619395	0.01004548309083107
response to virus	GOTERM_BP_DIRECT	24	1.3223140495867771	6.288503697725442e-05	IFNAR2, IFNGR1, SRC, IFNGR2, MX2, ODC1, EIF2AK2, ISG15, IFIT1, TNF, IFIT3, OASL, IFIH1, BST2, ISG20, FOSL1, OAS1, OAS2, PRKRA, OAS3, IRF7, ITGB8, ITGB6, BCL2L1	1696	110	19453	2.5025300171526585	0.3012895580167473	0.011950253193577582	0.011769982754242785
positive regulation of mitotic cell cycle	GOTERM_BP_DIRECT	12	0.6611570247933884	9.226515738298108e-05	STAT5A, DUSP3, SPHK1, USP22, DYNLT3, MDM2, ASNS, PTPN11, PRKCA, SHB, CDC25B, LGMN	1696	34	19453	4.048210321864596	0.40905240050187497	0.01696786007227017	0.01671189866791738
protein destabilization	GOTERM_BP_DIRECT	15	0.8264462809917356	0.00010249936563320498	DAZAP2, PRNP, GSN, CDKN2A, SRC, CUL3, SIRT6, RAD23A, NR1D1, RNF5, HDAC6, CHFR, BMP2, MDM2, EP300	1696	52	19453	3.308633436139332	0.4425479750301854	0.01826090260859068	0.017985435563451436
intracellular protein transport	GOTERM_BP_DIRECT	51	2.809917355371901	0.0001404296338270621	VPS29, ABCA12, RAB22A, TOMM22, ARL5B, TUBA1A, TOM1, TIMM17B, TMED2, TMED1, TBC1D22A, TBC1D10A, YWHAH, TBC1D8, AP1B1, SYTL1, ARFGAP3, RHOB, ARL4C, RAB32, RAB31, ERP29, PICK1, ARF6, RAMP2, ARL1, HDAC6, TIMM50, RAB21, GGA1, BLOC1S2, MYO6, SNX9, STX3, TBC1D17, TBC1D15, TBC1D16, AP1M1, VPS16, CTSA, SYNRG, RANBP17, ASPSCR1, AP3D1, DNAJC15, EHD1, XPOT, IFT27, RAB17, COPG1, RAMP1	1696	337	19453	1.7358053160517328	0.5509610115052093	0.0242602831044873	0.02389431496784708
