	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
CNN3	5.5968803931654e-08	0.290811109150041	0.84	0.73	0.000781492409297684	Myofibroblasts 1	CNN3
UGCG	5.91730424372625e-08	0.295562084752139	0.336	0.189	0.000826233191551496	Myofibroblasts 1	UGCG
TGIF1	7.53198742898801e-08	0.321800937362548	0.453	0.313	0.0010516914047096	Myofibroblasts 1	TGIF1
RPS26	8.04854895526133e-08	0.31041737260002	0.999	1	0.00112381889062314	Myofibroblasts 1	RPS26
KTN1	8.1716720774722e-08	0.3037764290839	0.775	0.685	0.00114101057217744	Myofibroblasts 1	KTN1
TYMP	8.54865684125824e-08	0.351924330349529	0.368	0.224	0.00119364895474489	Myofibroblasts 1	TYMP
EGR1	8.87287159676134e-08	0.593531068133847	0.889	0.85	0.00123891906105579	Myofibroblasts 1	EGR1
MCL1	9.40902388826533e-08	0.446065924719625	0.805	0.726	0.00131378200551849	Myofibroblasts 1	MCL1
STAT1	1.04309508350457e-07	0.430092714852742	0.368	0.236	0.00145647366509743	Myofibroblasts 1	STAT1
ACTN4	1.07348921443938e-07	0.321031205483044	0.562	0.427	0.0014989129901217	Myofibroblasts 1	ACTN4
ZFAND5	1.10394314599756e-07	0.309388607462833	0.639	0.513	0.00154143581475639	Myofibroblasts 1	ZFAND5
LUC7L	1.12863183902368e-07	0.297993159259503	0.409	0.27	0.00157590863682877	Myofibroblasts 1	LUC7L
HTRA3	1.14127515818328e-07	0.9638466743818	0.295	0.177	0.00159356250337131	Myofibroblasts 1	HTRA3
ATF3	1.22985542123044e-07	0.756386701791251	0.575	0.437	0.00171724712466406	Myofibroblasts 1	ATF3
ADAM10	1.44851100201532e-07	0.295392629973355	0.359	0.222	0.00202255591211399	Myofibroblasts 1	ADAM10
TANC1	1.45897999491124e-07	0.274046226670636	0.348	0.208	0.00203717376689457	Myofibroblasts 1	TANC1
ITGAV	1.65271041231646e-07	0.372886457913127	0.498	0.363	0.00230767954871747	Myofibroblasts 1	ITGAV
HPCAL1	1.6541353336385e-07	0.293872450349321	0.3	0.169	0.00230966916635944	Myofibroblasts 1	HPCAL1
DENND2B	1.75521393065255e-07	0.313799359534364	0.475	0.346	0.00245080521137016	Myofibroblasts 1	DENND2B
SMOC2	2.11848630851962e-07	0.2856676437039	0.32	0.184	0.00295804243258594	Myofibroblasts 1	SMOC2
ATXN1	2.24780940455243e-07	0.273052552411595	0.358	0.217	0.00313861627157655	Myofibroblasts 1	ATXN1
KDM5B	2.2814640286508e-07	0.345997563918304	0.438	0.298	0.00318560822320511	Myofibroblasts 1	KDM5B
GAS7	2.46793137545474e-07	0.25588318820762	0.321	0.186	0.00344597257954746	Myofibroblasts 1	GAS7
ARHGAP18	2.47695786526574e-07	0.26490932671434	0.277	0.15	0.00345857626727055	Myofibroblasts 1	ARHGAP18
SF3B1	2.53268590959274e-07	0.318867919666273	0.73	0.63	0.00353638933556434	Myofibroblasts 1	SF3B1
NID2	2.82230828928414e-07	0.345013163562445	0.294	0.172	0.00394078906432745	Myofibroblasts 1	NID2
HSPD1	2.90496158034254e-07	0.321077756045803	0.874	0.778	0.00405619785463229	Myofibroblasts 1	HSPD1
GEM	2.97534208900072e-07	0.586645716354384	0.716	0.621	0.00415447015887171	Myofibroblasts 1	GEM
FN1	3.6375740001436e-07	1.05311371526951	0.739	0.685	0.0050791445764005	Myofibroblasts 1	FN1
UFM1	3.92631209198438e-07	0.296361585227403	0.584	0.47	0.00548230957403779	Myofibroblasts 1	UFM1
SYNE1	4.45640099917609e-07	0.450887149062001	0.509	0.389	0.00622247271514957	Myofibroblasts 1	SYNE1
IFRD1	5.65482751078091e-07	0.328051051219282	0.374	0.243	0.00789583565330339	Myofibroblasts 1	IFRD1
TPM3	6.3458591650077e-07	0.261634632847026	0.51	0.368	0.00886072315210025	Myofibroblasts 1	TPM3
TEAD1	8.33885211284578e-07	0.314040391201601	0.357	0.232	0.0116435392051666	Myofibroblasts 1	TEAD1
SPIN1	9.05205120115949e-07	0.333008555486644	0.508	0.406	0.012639379092179	Myofibroblasts 1	SPIN1
LUM	9.71014030566489e-07	0.295151908935013	0.988	0.988	0.0135582689087999	Myofibroblasts 1	LUM
SERPINH1	1.00872167882994e-06	0.344828781259319	0.981	0.967	0.0140847808015025	Myofibroblasts 1	SERPINH1
ARPC5	1.04379808576258e-06	0.280090825670548	0.682	0.575	0.0145745526715028	Myofibroblasts 1	ARPC5
GULP1	1.11615883592187e-06	0.299521292771778	0.365	0.241	0.0155849258259771	Myofibroblasts 1	GULP1
COTL1	1.11701084422725e-06	0.349464513280608	0.318	0.198	0.0155968224179451	Myofibroblasts 1	COTL1
DDX17	1.25479560327918e-06	0.471375026694844	0.752	0.687	0.0175207110085871	Myofibroblasts 1	DDX17
UBE2E3	1.39772700972238e-06	0.266360439761195	0.564	0.442	0.0195164622367536	Myofibroblasts 1	UBE2E3
ATF4	1.54829888580435e-06	0.278660766244631	0.684	0.585	0.0216188973424861	Myofibroblasts 1	ATF4
CFL1	1.8528826211195e-06	0.260498640612383	0.996	0.995	0.0258718000386916	Myofibroblasts 1	CFL1
ICAM1	2.03221905050703e-06	0.503100548390292	0.416	0.274	0.0283758746022297	Myofibroblasts 1	ICAM1
S100A16	2.04766304258382e-06	0.321071047380864	0.524	0.406	0.0285915190635978	Myofibroblasts 1	S100A16
UACA	2.37009275271698e-06	0.345289975626152	0.314	0.2	0.0330936051061872	Myofibroblasts 1	UACA
TLE1	2.4503331079276e-06	0.274627460164135	0.333	0.21	0.034214001185993	Myofibroblasts 1	TLE1
HLA-E	2.57527725508541e-06	0.313506158630827	0.877	0.788	0.0359585963127576	Myofibroblasts 1	HLA-E
ADM	2.61608168081241e-06	0.401243615860084	0.307	0.189	0.0365283485091836	Myofibroblasts 1	ADM
PSMB9	2.76937325831248e-06	0.288178755030268	0.3	0.186	0.0386687588058171	Myofibroblasts 1	PSMB9
MXRA8	5.14147960471039e-06	0.318028072989551	0.941	0.928	0.0717904797205711	Myofibroblasts 1	MXRA8
PEAK1	5.35545090737408e-06	0.261347948684431	0.302	0.186	0.0747781610196642	Myofibroblasts 1	PEAK1
H2AX	5.51360921828946e-06	0.37070476137826	0.409	0.289	0.0769865255149758	Myofibroblasts 1	H2AX
