	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
NKAIN4	3.54710795624921e-99	0.855178852861407	0.497	0.059	5.45545203671128e-95	Epithelial cells 1	NKAIN4
MFGE8	3.72136224829826e-99	1.13083937467439	0.591	0.126	5.72345513788272e-95	Epithelial cells 1	MFGE8
DRAM1	5.71632707109445e-99	1.04206180280081	0.725	0.278	8.79171103534326e-95	Epithelial cells 1	DRAM1
WNT7A	1.04711460395147e-98	0.814503514333721	0.555	0.095	1.61046226087737e-94	Epithelial cells 1	WNT7A
KLF11	1.0950874393193e-98	1.01345216957556	0.606	0.135	1.68424448167309e-94	Epithelial cells 1	KLF11
RASIP1	2.24532185949122e-97	0.77001294278111	0.534	0.081	3.4533050198975e-93	Epithelial cells 1	RASIP1
ADGRE2	2.61838497201335e-97	0.823370053709476	0.452	0.041	4.02707608695653e-93	Epithelial cells 1	ADGRE2
MUC16	4.40004637685731e-97	1.3095537694668	0.931	0.675	6.76727132760655e-93	Epithelial cells 1	MUC16
SPHK1	6.6151351492796e-97	1.33718247562172	0.729	0.324	1.0174077859592e-92	Epithelial cells 1	SPHK1
PAF1	1.32954886694196e-95	1.02375744831293	0.876	0.639	2.04484615735674e-91	Epithelial cells 1	PAF1
TCIM	3.21796524208545e-95	1.21794523080913	0.865	0.575	4.94923054232742e-91	Epithelial cells 1	TCIM
NEURL3	1.46200320708013e-94	0.781135215198185	0.451	0.045	2.24856093248923e-90	Epithelial cells 1	NEURL3
KRT7	2.7100090048196e-94	1.15801710896439	0.996	0.865	4.16799384941254e-90	Epithelial cells 1	KRT7
ARL4C	3.69695648728323e-94	1.25608963067681	0.737	0.328	5.68591907744161e-90	Epithelial cells 1	ARL4C
JUND	3.4137673287351e-92	1.06726202508588	0.972	0.854	5.25037415159458e-88	Epithelial cells 1	JUND
DPP4	8.89063777319414e-92	1.09550191792868	0.669	0.226	1.36738008951726e-87	Epithelial cells 1	DPP4
FBL	4.93860171795448e-90	1.09369567132468	0.94	0.885	7.59556944221398e-86	Epithelial cells 1	FBL
ITPKC	5.20453960915708e-90	1.5455895828224	0.78	0.441	8.0045819188836e-86	Epithelial cells 1	ITPKC
CREB5	2.62084458373024e-88	0.977808043129447	0.534	0.104	4.03085896977711e-84	Epithelial cells 1	CREB5
ITM2B	1.17959746828232e-87	0.809378763856827	1	1	1.81422090621821e-83	Epithelial cells 1	ITM2B
PIK3AP1	4.60971832450687e-87	0.686098094232907	0.513	0.09	7.08974678309156e-83	Epithelial cells 1	PIK3AP1
CBX6	8.71141777354147e-87	0.655134808211128	0.488	0.077	1.33981605357068e-82	Epithelial cells 1	CBX6
PLXNB2	1.83307214586095e-86	0.828612094642258	0.969	0.829	2.81926496033413e-82	Epithelial cells 1	PLXNB2
APOBEC3B	2.25507460943649e-86	0.903741718786942	0.479	0.073	3.46830474931332e-82	Epithelial cells 1	APOBEC3B
LSR	4.93398542799763e-86	0.788168289108141	0.988	0.875	7.58846958826035e-82	Epithelial cells 1	LSR
CEACAM6	6.03571420132643e-86	0.992340743827413	0.991	0.815	9.28292844164004e-82	Epithelial cells 1	CEACAM6
LDLRAD1	6.38402930823351e-86	0.683715267983125	0.425	0.046	9.81863707606314e-82	Epithelial cells 1	LDLRAD1
SLCO4A1	1.47521822809656e-85	0.951519364960117	0.497	0.085	2.26888563481252e-81	Epithelial cells 1	SLCO4A1
SERTAD1	2.67714302601569e-85	1.13000079085756	0.985	0.885	4.11744597401213e-81	Epithelial cells 1	SERTAD1
TMSB4X	8.34109522714512e-85	0.681896042660469	1	0.998	1.28286044593492e-80	Epithelial cells 1	TMSB4X
MED29	4.03403395680013e-84	0.861656148941357	0.877	0.635	6.20434422555861e-80	Epithelial cells 1	MED29
CDKN1A	7.03544193403067e-84	1.18771054239238	0.987	0.86	1.08205096945392e-79	Epithelial cells 1	CDKN1A
KLK1	9.99614006511618e-84	1.5414989825239	0.539	0.126	1.53740634201487e-79	Epithelial cells 1	KLK1
DCDC2	1.38586979284859e-83	0.806524911614551	0.594	0.151	2.13146774140113e-79	Epithelial cells 1	DCDC2
CDKN2A	8.44153985347197e-83	0.921317022279835	0.999	0.847	1.29830882946399e-78	Epithelial cells 1	CDKN2A
TNNT1	1.02498047400793e-81	0.738544605022365	0.506	0.096	1.5764199690242e-77	Epithelial cells 1	TNNT1
TRIB3	1.2178099595173e-81	1.19387989729623	0.436	0.061	1.8729917177376e-77	Epithelial cells 1	TRIB3
SERPINE1	1.24186787121391e-81	1.32738943732556	0.506	0.099	1.909992785927e-77	Epithelial cells 1	SERPINE1
CX3CL1	2.10995861788809e-81	0.912619727145846	0.581	0.155	3.24511635431189e-77	Epithelial cells 1	CX3CL1
LIF	2.21532210443641e-81	1.02815686493564	0.528	0.116	3.40716539662319e-77	Epithelial cells 1	LIF
BCL2L1	2.50100368853423e-81	1.03540960066517	0.904	0.711	3.84654367296564e-77	Epithelial cells 1	BCL2L1
LCP1	4.69260464915782e-81	0.720684389734912	0.487	0.081	7.21722595040473e-77	Epithelial cells 1	LCP1
NCEH1	1.18752979773316e-80	0.746719645875484	0.569	0.145	1.82642082891359e-76	Epithelial cells 1	NCEH1
DCBLD2	3.63378775749768e-80	1.15877487692559	0.582	0.165	5.58876557103143e-76	Epithelial cells 1	DCBLD2
KCNJ16	1.68955929089672e-79	0.562797626122822	0.386	0.036	2.59854218939915e-75	Epithelial cells 1	KCNJ16
DYRK1B	2.02557019692751e-79	0.677635333939999	0.555	0.136	3.1153269628745e-75	Epithelial cells 1	DYRK1B
SECTM1	2.69424811992712e-79	1.02365973486813	0.43	0.061	4.14375360844791e-75	Epithelial cells 1	SECTM1
CYB5R3	2.92763333518104e-79	0.794328492985095	0.949	0.827	4.50270006950843e-75	Epithelial cells 1	CYB5R3
BLVRB	3.10302291538228e-79	0.811423515080401	0.982	0.902	4.77244924385795e-75	Epithelial cells 1	BLVRB
CCL28	4.51687209070764e-79	1.40155864718702	0.732	0.417	6.94694927550835e-75	Epithelial cells 1	CCL28
ADGRF1	8.65574831603748e-79	0.797475175041199	0.525	0.115	1.33125409100656e-74	Epithelial cells 1	ADGRF1
VNN2	9.63756855978553e-79	0.954436836719962	0.476	0.086	1.48225804449501e-74	Epithelial cells 1	VNN2
ZFR2	1.34742449024111e-78	0.585694261404153	0.418	0.052	2.07233886599082e-74	Epithelial cells 1	ZFR2
ATF3	1.8709228878185e-78	1.21410728562674	0.967	0.875	2.87747940146486e-74	Epithelial cells 1	ATF3
SAMD4B	2.47837406690854e-78	0.873331629300504	0.799	0.496	3.81173931490534e-74	Epithelial cells 1	SAMD4B
CLDN3	3.25515542279519e-78	0.892444775307829	0.994	0.975	5.006429040259e-74	Epithelial cells 1	CLDN3
PPP1R14C	1.59726711066512e-77	0.641708625241649	0.501	0.105	2.45659681620295e-73	Epithelial cells 1	PPP1R14C
WNT7B	3.12593819709507e-77	0.679440474914692	0.467	0.086	4.80769294713222e-73	Epithelial cells 1	WNT7B
OAS1	2.85369442518652e-76	1.00803690627424	0.892	0.669	4.38898202593686e-72	Epithelial cells 1	OAS1
SPATS2L	3.84890085296118e-76	0.725091306128951	0.984	0.869	5.91960951185429e-72	Epithelial cells 1	SPATS2L
PECR	5.85042511793333e-76	0.791003708496943	0.581	0.169	8.99795383138146e-72	Epithelial cells 1	PECR
GABRP	6.2624558971308e-76	1.15948200325084	0.823	0.521	9.63165716978717e-72	Epithelial cells 1	GABRP
ABCA12	8.74741131750318e-76	0.574428352618063	0.392	0.045	1.34535186063199e-71	Epithelial cells 1	ABCA12
PLEKHG2	2.55062731937401e-75	0.598795293158459	0.485	0.097	3.92286481719723e-71	Epithelial cells 1	PLEKHG2
TNFSF10	3.51040746059766e-75	1.16353810869914	0.936	0.738	5.3990066743992e-71	Epithelial cells 1	TNFSF10
SPINK1	1.01372555586775e-74	1.15108339177375	0.9	0.602	1.5591099049246e-70	Epithelial cells 1	SPINK1
KYNU	2.03846364121717e-74	0.733148243519773	0.596	0.172	3.13515708019201e-70	Epithelial cells 1	KYNU
GNG11	6.67205927798535e-74	0.747328506420874	0.403	0.053	1.02616271695415e-69	Epithelial cells 1	GNG11
TPM4	8.48589007410712e-74	0.749952785527561	0.993	0.948	1.30512989339768e-69	Epithelial cells 1	TPM4
MGLL	5.18776203900801e-73	0.767728599504183	0.985	0.843	7.97877801599433e-69	Epithelial cells 1	MGLL
TGIF1	6.53544616371014e-73	1.00245641835264	0.906	0.74	1.00515161997862e-68	Epithelial cells 1	TGIF1
RHOB	1.26946007151889e-72	0.895674736954824	0.988	0.935	1.95242958999605e-68	Epithelial cells 1	RHOB
ERP29	1.34821176189265e-72	0.702995784256392	0.984	0.957	2.0735496897909e-68	Epithelial cells 1	ERP29
MIOX	2.97022320887685e-72	0.66639627812151	0.388	0.049	4.56820329525259e-68	Epithelial cells 1	MIOX
HSPB8	3.11999691829183e-72	1.06076208972493	0.602	0.218	4.79855526033283e-68	Epithelial cells 1	HSPB8
ISCU	4.97343516356908e-72	0.751292375665308	0.934	0.806	7.64914328156925e-68	Epithelial cells 1	ISCU
LZTS3	7.24012209050768e-72	0.653476918340423	0.503	0.12	1.11353077752008e-67	Epithelial cells 1	LZTS3
TIMM50	7.45370819963861e-72	0.783564141839792	0.87	0.736	1.14638032110442e-67	Epithelial cells 1	TIMM50
IKBIP	7.4736123513312e-72	0.717384285266837	0.518	0.132	1.14944157963474e-67	Epithelial cells 1	IKBIP
MARCKS	2.22138712672401e-71	0.779884026205784	0.961	0.802	3.41649340090152e-67	Epithelial cells 1	MARCKS
CEACAM7	4.01338698445686e-71	1.53811533621277	0.407	0.065	6.17258918209465e-67	Epithelial cells 1	CEACAM7
ISG15	6.39382518928669e-71	1.04635016776171	0.96	0.838	9.83370314112293e-67	Epithelial cells 1	ISG15
LBH	6.68440503614946e-71	0.97072424319051	0.768	0.455	1.02806149455979e-66	Epithelial cells 1	LBH
EIF1	7.03005914884297e-71	0.549665908059596	1	1	1.08122309709205e-66	Epithelial cells 1	EIF1
OCIAD2	7.92792340440982e-71	0.728740872389976	1	0.981	1.21931461959823e-66	Epithelial cells 1	OCIAD2
PLSCR1	9.3965993204666e-71	0.846569167773906	0.979	0.857	1.44519697548776e-66	Epithelial cells 1	PLSCR1
CCN3	2.14919867346908e-70	0.68473121199083	0.389	0.053	3.30546755979544e-66	Epithelial cells 1	CCN3
SLC3A1	2.26215249145221e-70	0.634056992740015	0.473	0.096	3.4791905318535e-66	Epithelial cells 1	SLC3A1
PDZK1IP1	7.40830262473266e-70	0.814726609968829	0.97	0.821	1.13939694368388e-65	Epithelial cells 1	PDZK1IP1
DNAJC12	3.28759912372203e-69	0.69291556547589	0.512	0.123	5.05632745228449e-65	Epithelial cells 1	DNAJC12
SOX4	3.73216108984954e-69	0.78433923689567	0.997	0.958	5.74006375618859e-65	Epithelial cells 1	SOX4
PXDN	9.22677419322477e-69	0.642794882881587	0.415	0.066	1.41907787091797e-64	Epithelial cells 1	PXDN
AKT2	9.37403031952901e-69	0.790673351267694	0.793	0.515	1.44172586314356e-64	Epithelial cells 1	AKT2
MAL2	1.6014073119676e-68	0.779489813921783	0.946	0.83	2.46296444580616e-64	Epithelial cells 1	MAL2
CEBPB	2.47313889928933e-68	0.811837539338749	0.912	0.73	3.80368762710699e-64	Epithelial cells 1	CEBPB
HABP2	3.89695609275384e-68	0.759615868040489	0.47	0.107	5.9935184706554e-64	Epithelial cells 1	HABP2
RASSF2	4.27467248546469e-68	0.544536790397794	0.343	0.035	6.57444628264469e-64	Epithelial cells 1	RASSF2
IGFALS	1.30932075868623e-67	0.62759764337011	0.368	0.048	2.01373532685942e-63	Epithelial cells 1	IGFALS
SRSF9	1.73217451859814e-67	0.730561312330674	0.936	0.855	2.66408440960393e-63	Epithelial cells 1	SRSF9
CDC42EP1	2.03960708545478e-67	0.834050796291189	0.9	0.699	3.13691569742945e-63	Epithelial cells 1	CDC42EP1
PDXK	2.22710190723893e-67	0.715660862409975	0.894	0.745	3.42528273333347e-63	Epithelial cells 1	PDXK
THEMIS2	2.65975957792156e-67	0.554991958798698	0.406	0.067	4.09071023084336e-63	Epithelial cells 1	THEMIS2
FTH1	4.00557759864897e-67	0.695395782269066	1	1	6.16057834672211e-63	Epithelial cells 1	FTH1
KRT80	1.00038062695242e-66	0.71958351593797	0.513	0.139	1.53858540425282e-62	Epithelial cells 1	KRT80
CD24	1.01329582446693e-66	0.651078635453781	1	0.999	1.55844897803013e-62	Epithelial cells 1	CD24
PHGDH	1.18962278038401e-66	0.870544233860661	0.561	0.172	1.82963983623061e-62	Epithelial cells 1	PHGDH
IL4I1	1.60689173321542e-66	0.774874101176572	0.451	0.092	2.47139948568531e-62	Epithelial cells 1	IL4I1
PDZK1	3.66150382213708e-66	0.750427415517012	0.5	0.131	5.63139287844683e-62	Epithelial cells 1	PDZK1
KRT8	8.26263808423946e-66	0.622595108688432	1	1	1.27079373735603e-61	Epithelial cells 1	KRT8
TP53INP2	1.16736398936951e-65	0.600028131242687	0.525	0.142	1.7954058156503e-61	Epithelial cells 1	TP53INP2
BBC3	1.79143409724745e-65	0.923971189563034	0.747	0.446	2.75522564156657e-61	Epithelial cells 1	BBC3
RCAN2	4.89295183254761e-65	0.455795547777882	0.322	0.03	7.52535991845823e-61	Epithelial cells 1	RCAN2
PHLDB2	1.34192554765862e-64	0.490382705180051	0.373	0.052	2.06388149229895e-60	Epithelial cells 1	PHLDB2
CLDN4	1.55630596855166e-64	0.686291404165904	1	0.976	2.39359857963246e-60	Epithelial cells 1	CLDN4
ARSL	1.03678388347812e-63	0.877154851889164	0.66	0.324	1.59457361278935e-59	Epithelial cells 1	ARSL
HELZ2	1.45708377468312e-63	0.605679061173401	0.609	0.213	2.24099484546264e-59	Epithelial cells 1	HELZ2
TICAM1	1.47324812275756e-63	0.890151409155648	0.711	0.401	2.26585561280113e-59	Epithelial cells 1	TICAM1
SLC47A2	1.52309086853481e-63	0.482363676923883	0.301	0.024	2.34251375580653e-59	Epithelial cells 1	SLC47A2
TRIR	1.5605017877733e-63	0.608695813102261	0.97	0.908	2.40005174959533e-59	Epithelial cells 1	TRIR
RAB32	2.51507829092893e-63	0.799871304895606	0.795	0.548	3.8681904114487e-59	Epithelial cells 1	RAB32
EZR	4.20972745822986e-63	0.631422522346036	1	0.969	6.47456083075752e-59	Epithelial cells 1	EZR
INHBB	4.38094802376587e-63	0.577979710953546	0.374	0.059	6.73789806055191e-59	Epithelial cells 1	INHBB
DUSP10	4.93894680582819e-63	0.675291624748976	0.494	0.135	7.59610018736375e-59	Epithelial cells 1	DUSP10
MAFF	5.33103366207963e-63	0.860059986157901	0.898	0.693	8.19912977227847e-59	Epithelial cells 1	MAFF
DDIT3	6.90634935664658e-63	1.13666666609609	0.84	0.646	1.06219653105224e-58	Epithelial cells 1	DDIT3
AHNAK2	7.96346611689009e-63	0.853846933961669	0.633	0.257	1.2247810887777e-58	Epithelial cells 1	AHNAK2
TRIM54	9.77831973057456e-63	0.876309019625423	0.596	0.236	1.50390557456237e-58	Epithelial cells 1	TRIM54
GATM	1.04634271680134e-62	0.961341262141349	0.51	0.155	1.60927509844047e-58	Epithelial cells 1	GATM
APPL2	1.25815539208185e-62	0.694442081389973	0.614	0.239	1.93504299302188e-58	Epithelial cells 1	APPL2
WDR72	1.79126864639924e-62	0.673012034490586	0.614	0.22	2.75497117816203e-58	Epithelial cells 1	WDR72
CKAP4	2.06034374187995e-62	0.736381281766882	0.858	0.678	3.16880867501136e-58	Epithelial cells 1	CKAP4
RAB11FIP1	5.53845928717608e-62	0.747178818556153	0.93	0.828	8.51815038367682e-58	Epithelial cells 1	RAB11FIP1
DNTTIP1	8.98973268855158e-62	0.827674705733414	0.847	0.645	1.38262088749923e-57	Epithelial cells 1	DNTTIP1
C12orf49	1.29062159405192e-61	0.675221901058353	0.537	0.171	1.98497601165186e-57	Epithelial cells 1	C12orf49
COX6A1	1.78502123626225e-61	0.495433773297064	1	1	2.74536266137134e-57	Epithelial cells 1	COX6A1
PNRC1	2.05780610601162e-61	0.780353954143573	0.961	0.813	3.16490579104587e-57	Epithelial cells 1	PNRC1
ARPC3	2.15053154263005e-61	0.49282431098458	0.997	1	3.30751751256502e-57	Epithelial cells 1	ARPC3
TMSB10	2.64240186174298e-61	0.63977096689614	1	1	4.0640140633607e-57	Epithelial cells 1	TMSB10
HDGFL3	2.87034497690831e-61	0.498914401644043	0.442	0.098	4.41459057448499e-57	Epithelial cells 1	HDGFL3
EFNA5	4.45247877456724e-61	0.559580706742253	0.469	0.122	6.84791235528442e-57	Epithelial cells 1	EFNA5
SLC15A1	4.61774966374425e-61	0.551681727345768	0.425	0.091	7.10209898283866e-57	Epithelial cells 1	SLC15A1
ULBP2	8.42059723791358e-61	0.514419282113757	0.388	0.071	1.29508785519111e-56	Epithelial cells 1	ULBP2
TPM1	1.07761233683896e-60	0.83542476197468	0.997	0.939	1.65736777405832e-56	Epithelial cells 1	TPM1
HSP90B1	1.17276475051751e-60	0.844568405190452	0.994	0.998	1.80371218629593e-56	Epithelial cells 1	HSP90B1
TBC1D8	2.29244854044692e-60	0.585490620350687	0.606	0.215	3.52578585520736e-56	Epithelial cells 1	TBC1D8
HES1	2.3014450253514e-60	1.38732036864603	0.855	0.718	3.53962244899045e-56	Epithelial cells 1	HES1
GAMT	2.96997685649647e-60	0.636810007353462	0.446	0.102	4.56782440529157e-56	Epithelial cells 1	GAMT
MMD	3.26107019180216e-60	0.627201459704515	0.494	0.145	5.01552595499173e-56	Epithelial cells 1	MMD
MZT2A	5.18102015750458e-60	0.743544508143111	0.915	0.806	7.96840900224204e-56	Epithelial cells 1	MZT2A
ATF4	8.90684328488942e-60	0.710950751653159	0.939	0.871	1.36987249721599e-55	Epithelial cells 1	ATF4
MITF	1.30693203970305e-59	0.566975392062207	0.478	0.126	2.0100614770633e-55	Epithelial cells 1	MITF
MMP24OS	1.91456409546861e-59	0.693371832794237	0.885	0.725	2.94459957883073e-55	Epithelial cells 1	MMP24OS
MYO1B	3.29028566944846e-59	0.726828704000683	0.636	0.278	5.06045935961174e-55	Epithelial cells 1	MYO1B
UFD1	4.87704543408488e-59	0.631112451685859	0.873	0.747	7.50089587762255e-55	Epithelial cells 1	UFD1
F5	4.99074365938749e-59	0.607017325396121	0.406	0.084	7.67576374813797e-55	Epithelial cells 1	F5
ACTG1	6.82479756595892e-59	0.612308361954153	1	1	1.04965386564448e-54	Epithelial cells 1	ACTG1
AEN	9.96047431506116e-59	0.562627629521862	0.41	0.091	1.53192094965641e-54	Epithelial cells 1	AEN
FHL2	1.02080038207316e-58	0.750756532936386	0.948	0.797	1.56999098762851e-54	Epithelial cells 1	FHL2
ITGB1	1.11701029903541e-58	0.666959850303616	0.97	0.889	1.71796183991646e-54	Epithelial cells 1	ITGB1
MAP3K10	1.15500994187615e-58	0.475752137566648	0.382	0.071	1.77640529060551e-54	Epithelial cells 1	MAP3K10
SAT1	1.19180052082035e-58	0.625575598025372	1	0.995	1.8329892010217e-54	Epithelial cells 1	SAT1
CD63	1.2505783909547e-58	0.48801902573067	1	1	1.92338956528833e-54	Epithelial cells 1	CD63
NFKBID	2.07328008471882e-58	0.751489613349789	0.496	0.147	3.18870477029755e-54	Epithelial cells 1	NFKBID
SLC40A1	3.02021567186569e-58	1.38656459240176	0.94	0.859	4.64509170332943e-54	Epithelial cells 1	SLC40A1
TTC39A	3.74804001863645e-58	0.616897851963406	0.576	0.211	5.76448554866285e-54	Epithelial cells 1	TTC39A
PCBP1	4.65797690487942e-58	0.599881379786306	0.993	0.95	7.16396847970455e-54	Epithelial cells 1	PCBP1
TCN2	4.77644243603772e-58	0.753464408613747	0.578	0.209	7.34616846662601e-54	Epithelial cells 1	TCN2
AMOTL2	5.68544128217313e-58	0.765081611622495	0.621	0.272	8.74420869198227e-54	Epithelial cells 1	AMOTL2
PLEKHH2	8.4275149616186e-58	0.505841112194453	0.473	0.124	1.29615180109694e-53	Epithelial cells 1	PLEKHH2
ANKRD13A	8.67404502439514e-58	0.626830552571375	0.497	0.151	1.33406812475197e-53	Epithelial cells 1	ANKRD13A
CLDN2	1.00320310926306e-57	1.31415944136553	0.365	0.066	1.54292638204658e-53	Epithelial cells 1	CLDN2
SUCNR1	1.68702541821462e-57	1.52717558684807	0.494	0.168	2.59464509321408e-53	Epithelial cells 1	SUCNR1
KCP	2.08850085278802e-57	0.51608071497251	0.534	0.165	3.21211431158798e-53	Epithelial cells 1	KCP
CRB3	2.50058033957316e-57	0.664481406046775	0.861	0.703	3.84589256226352e-53	Epithelial cells 1	CRB3
CORO1C	4.45640507289278e-57	0.536881241243152	0.546	0.177	6.8539510021091e-53	Epithelial cells 1	CORO1C
ATP1B1	5.85987569393407e-57	0.726554843281279	0.994	0.917	9.01248881727061e-53	Epithelial cells 1	ATP1B1
ATP13A4	7.25365300185249e-57	0.435256159057879	0.316	0.04	1.11561183168491e-52	Epithelial cells 1	ATP13A4
NCOA7	7.96043761525769e-57	0.961414648746583	0.891	0.733	1.22431530522663e-52	Epithelial cells 1	NCOA7
SMIM24	8.18614461624675e-57	1.01924339131064	0.817	0.615	1.25902904197875e-52	Epithelial cells 1	SMIM24
CLDN10	9.58392876825654e-57	0.801846513603208	0.885	0.638	1.47400824455786e-52	Epithelial cells 1	CLDN10
COPRS	1.15682510493606e-56	0.611915221728798	0.57	0.209	1.77919701139167e-52	Epithelial cells 1	COPRS
SHC2	1.47819956677441e-56	0.520529736005998	0.415	0.095	2.27347093369904e-52	Epithelial cells 1	SHC2
PRRX2	1.48565463375323e-56	0.463940837085963	0.35	0.056	2.28493682671247e-52	Epithelial cells 1	PRRX2
CDV3	2.28871067137175e-56	0.733549695101973	0.784	0.577	3.52003701256975e-52	Epithelial cells 1	CDV3
C3orf52	2.68504569445054e-56	0.54347782197804	0.551	0.181	4.12960027806494e-52	Epithelial cells 1	C3orf52
MUC20	3.31238170780711e-56	1.31977324896189	0.874	0.718	5.09444306660733e-52	Epithelial cells 1	MUC20
SPON2	3.31253313082009e-56	0.744952301223993	0.533	0.178	5.0946759552013e-52	Epithelial cells 1	SPON2
MELTF	5.95803237401912e-56	0.63851814725147	0.449	0.119	9.16345379124141e-52	Epithelial cells 1	MELTF
SYNJ2	7.97955576636126e-56	0.69207101713371	0.678	0.339	1.22725567686636e-51	Epithelial cells 1	SYNJ2
TNFSF9	8.86450920710142e-56	1.00155708984306	0.754	0.494	1.3633615160522e-51	Epithelial cells 1	TNFSF9
INSR	1.00203352258801e-55	0.606008117732571	0.552	0.193	1.54112755774036e-51	Epithelial cells 1	INSR
PLAAT3	2.18645372529293e-55	0.688768329913571	0.919	0.73	3.36276582950053e-51	Epithelial cells 1	PLAAT3
YWHAH	3.59483982963849e-55	0.673595381709194	0.897	0.764	5.528863657984e-51	Epithelial cells 1	YWHAH
IGFBP6	4.45539115668705e-55	0.554415963294472	0.325	0.048	6.85239159898469e-51	Epithelial cells 1	IGFBP6
WSB2	7.15383258932105e-55	0.522337514437705	0.518	0.173	1.10025945223758e-50	Epithelial cells 1	WSB2
TSPAN33	7.6033624911637e-55	0.470247655360688	0.299	0.037	1.16939715114098e-50	Epithelial cells 1	TSPAN33
SERPINE2	8.48119761052212e-55	1.09846542495518	0.612	0.303	1.3044081924983e-50	Epithelial cells 1	SERPINE2
CA12	8.5244868799081e-55	0.786146182315688	0.545	0.202	1.31106608212987e-50	Epithelial cells 1	CA12
B3GNT3	9.23287524310217e-55	0.662052733971918	0.78	0.556	1.42001621238911e-50	Epithelial cells 1	B3GNT3
