	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGLC2	3.22181542966192e-21	0.648128415676954	0.179	0.032	5.48417422437052e-17
CTSB	4.01817258724035e-18	0.643135041538649	0.919	0.827	6.83973337800052e-14
BGN	1.36525718850909e-11	0.626213943432052	0.902	0.861	2.32394078628017e-07
CHI3L1	1.86978337037169e-21	0.621455136935522	0.218	0.049	3.1827452530467e-17
LTBP2	4.79606769175178e-16	0.620710114468055	0.582	0.357	8.16386642489987e-12
MMP2	3.16564190303685e-13	0.615686881489156	0.849	0.856	5.38855564734932e-09
SERPING1	1.17574883392841e-14	0.61168666685589	0.888	0.826	2.00135966511294e-10
HSPA8	1.02350355753419e-12	0.603401932903547	0.947	0.95	1.74220775563469e-08
RPS26	6.12271360490696e-27	0.601751908165077	0.986	0.967	1.04220830982726e-22
LBH	6.97647938317721e-18	0.595587224334232	0.432	0.2	1.18753632060443e-13
THBS1	1.14505869564882e-14	0.585896091952211	0.551	0.311	1.94911891173342e-10
RPS27L	8.06127459399292e-24	0.584274941417736	0.828	0.609	1.37219016138948e-19
CXCL9	1.64289755995851e-07	0.583159790817446	0.056	0.01	0.00279654022656137
BAMBI	6.1852420843475e-26	0.578549469178457	0.354	0.107	1.05285190759763e-21
CCN1	1.44844506314232e-09	0.570970041541036	0.733	0.596	2.46554318648085e-05
ITGA1	4.3931928778293e-40	0.570361410004028	0.453	0.116	7.47809291664103e-36
ASPN	2.57146500075262e-08	0.564026445338951	0.404	0.257	0.000437714772428111
HLA-C	3.70604637095273e-23	0.560597712230026	0.982	0.946	6.30843213263574e-19
CALD1	1.36621849413618e-21	0.559299234950634	0.919	0.834	2.3255771207186e-17
PLAAT4	2.83375495066181e-20	0.556830117297423	0.463	0.219	4.82361767701653e-16
C1S	1.88488208009229e-12	0.553938199073969	0.86	0.822	3.20844627673309e-08
GADD45B	3.97508220339621e-06	0.552528848643927	0.674	0.569	0.0676638492662103
IGKV1-8	0.000322254221323336	0.549085464392559	0.011	0	1
ANKRD10	1.30779756723391e-24	0.547188904235948	0.656	0.352	2.22613301894557e-20
LEF1	4.8721767603209e-30	0.54249211753455	0.319	0.078	8.29341928141824e-26
RGS2	4.73464293121501e-09	0.53208201184574	0.26	0.127	8.05930919751419e-05
FN1	1.32772653420814e-08	0.529726736197127	0.663	0.535	0.000226005610652909
NNMT	5.28911568970752e-22	0.529649988898264	0.712	0.375	9.00313272702014e-18
VIPR2	8.47231547997806e-10	0.52676700160355	0.519	0.378	1.44215754100187e-05
IGHV3-48	9.14453483213209e-09	0.524656273515301	0.039	0.002	0.000155658271912553
ADAMTS2	4.10428622741936e-10	0.516658185066933	0.491	0.337	6.98631601631323e-06
CHGA	0.206055189329995	0.515650505315908	0.032	0.05	1
TYMP	5.11789227722093e-17	0.51197229137546	0.47	0.241	8.71167623428547e-13
ALPG	6.97394480597451e-08	0.50934345313059	0.028	0.001	0.00118710488487298
HTRA3	3.21823468447844e-05	0.509238360216419	0.34	0.228	0.54780790799192
COL8A1	2.20240219138232e-20	0.508789789319049	0.488	0.204	3.74892901017098e-16
ITGA8	1.46778663123941e-19	0.508406662233824	0.54	0.28	2.49846640369573e-15
CRIP2	1.17060122710623e-23	0.505523108367086	0.47	0.194	1.99259740878023e-19
MYH9	4.17111239442898e-16	0.505381000816618	0.74	0.505	7.10006751779701e-12
MT1E	9.3913565699332e-06	0.501874294533773	0.586	0.491	0.159859671533403
CORO1A	0.000121856333095633	0.488525922140636	0.098	0.043	1
MMP3	0.0217347526402257	0.487472486384618	0.042	0.02	1
THBS2	2.77411521297162e-12	0.484603069864529	0.593	0.366	4.72209891552029e-08
MRPS6	2.75951779058984e-09	0.481797100309196	0.6	0.464	4.69725118314203e-05
CEMIP	9.72050960305654e-17	0.481091572870406	0.151	0.03	1.65462514463228e-12
RARRES2	2.98550069654068e-11	0.48106108609806	0.884	0.895	5.08191928565154e-07
CACYBP	2.53034493031205e-11	0.480917613765751	0.523	0.358	4.30715314037717e-07
S100A13	1.18190823207814e-12	0.47520573154143	0.789	0.666	2.01184419264341e-08
GBP1	3.8019150823109e-10	0.472701202182998	0.368	0.204	6.47161985310961e-06
SH3BGRL3	8.23516136807244e-12	0.471798964342673	0.818	0.689	1.40178916807329e-07
CTSC	1.16411093088075e-11	0.469846815702783	0.495	0.301	1.98154962654521e-07
NRG1	2.32394464614251e-13	0.466976173828988	0.404	0.215	3.95581857666378e-09
PAM	1.20957556124702e-10	0.466105993710106	0.789	0.714	2.05893952035467e-06
NTM	3.00101374545182e-24	0.460913690932776	0.368	0.119	5.10832559750808e-20
HLA-DRA	0.257765495236032	0.45707488735882	0.133	0.112	1
COL4A2	1.83270358340053e-09	0.456715608510403	0.758	0.647	3.11962803966438e-05
DNAJB4	2.22817337422282e-08	0.455835616223788	0.365	0.222	0.000379279671760209
DYNLL1	1.6140039374264e-16	0.45228734836586	0.93	0.837	2.74735750228721e-12
RGCC	3.39929142121971e-07	0.452156238587263	0.242	0.128	0.00578627385720019
SLC38A2	9.58460328862818e-10	0.44879911458796	0.537	0.381	1.63149117179029e-05
GGT5	7.70032704478412e-11	0.447263530335658	0.505	0.324	1.31074966956315e-06
C4orf48	2.47703742200118e-17	0.445032314510626	0.498	0.259	4.21641309973041e-13
CTSH	2.72663211832235e-11	0.443010630730468	0.414	0.233	4.6412731918083e-07
PTMA	6.14975017226905e-15	0.439841689317608	1	1	1.04681047432364e-10
RAMP1	2.27624895365818e-07	0.439469620076145	0.66	0.561	0.00387463096891695
APOE	0.108022174013876	0.439404880633414	0.242	0.302	1
BAG3	2.1559215051339e-10	0.438351924452591	0.428	0.26	3.66980958603893e-06
PSMB8	8.49563273432863e-15	0.436548586211384	0.467	0.257	1.44612660403742e-10
TMEM50A	2.93402007858486e-18	0.433017884316637	0.719	0.48	4.99428897776715e-14
UBE2L6	4.60113789289107e-16	0.432372110284121	0.565	0.344	7.83205692127917e-12
POLR2L	1.5736508218706e-13	0.432150395969732	0.811	0.682	2.67866842898814e-09
MYLIP	1.57338212897664e-14	0.431688668331263	0.516	0.308	2.67821105994403e-10
LAMB1	2.35076598140845e-16	0.430080518662301	0.449	0.223	4.00147385355347e-12
COL6A2	2.84866147968159e-06	0.428515856420708	0.884	0.901	0.0484899157071401
CXCL14	0.513005799009066	0.42819154090105	0.779	0.814	1
PRDM1	8.28279988203996e-13	0.427504542215598	0.425	0.227	1.40989819592084e-08
HSPA2	2.74784532638297e-14	0.423399209524232	0.358	0.167	4.67738231456909e-10
TAP1	3.40608603517186e-15	0.422569944441579	0.365	0.169	5.79783964906955e-11
FABP4	2.72616411684622e-06	0.420434621577706	0.112	0.042	0.0464047655969564
TIMP2	5.62653939290728e-12	0.418964990985117	0.821	0.734	9.57749535460678e-08
GJA1	0.00115684216510482	0.418887181164115	0.712	0.709	1
FILIP1L	6.38277370666057e-16	0.418674163713268	0.407	0.181	1.08647574034776e-11
UBD	2.68736491166652e-09	0.414022633063471	0.186	0.072	4.57443255263875e-05
IGFBP2	1.96878669822566e-08	0.413764249589462	0.316	0.173	0.000335126871771972
PPIA	2.96683473080214e-09	0.413540236042145	0.982	0.977	5.05014607877141e-05
PSMB10	1.88061456798198e-19	0.412854292074049	0.502	0.243	3.20118211761893e-15
COL6A1	1.85178465744996e-05	0.412756423745078	0.846	0.87	0.315210784391132
MEST	2.61245655896504e-08	0.409901692809815	0.344	0.194	0.00044469235546703
ABCA6	6.39066058888133e-21	0.407093337808267	0.323	0.108	1.08781824543938e-16
LAMA2	1.436235464727e-08	0.406664436677778	0.589	0.455	0.00024447600080583
IGKV3-20	9.71702734436298e-26	0.405972524967721	0.13	0.009	1.65403239455747e-21
LOXL2	6.37616173148081e-09	0.40360830730111	0.491	0.325	0.000108535024993266
IGLV2-8	0.00142816885255746	0.4034088303281	0.063	0.026	1
MOXD1	1.00572404869516e-10	0.402760035258291	0.53	0.354	1.71194347568891e-06
RPL27A	2.86556961924076e-13	0.402631334932977	0.87	0.808	4.87777260587163e-09
KIF26B	3.13120274039842e-20	0.400796416019683	0.337	0.118	5.32993330470619e-16
TCF4	4.53464344539189e-11	0.398406343837097	0.842	0.796	7.71887007274607e-07
KIAA1217	9.4532012848731e-17	0.397967485054735	0.372	0.158	1.6091239227111e-12
IGFBP7	3.76893101189867e-07	0.395736975114241	0.937	0.98	0.00641547436845391
H2AZ1	0.0176567163274309	0.391980259508132	0.575	0.524	1
POMP	5.01481420142584e-12	0.38859218438724	0.705	0.555	8.53621673366707e-08
IFITM1	6.66685550811033e-07	0.388514442224571	0.982	0.978	0.0113483214459054
XAF1	1.71344449428256e-13	0.385270975063805	0.389	0.197	2.91662521816778e-09
PDGFRB	3.26572488054844e-05	0.38429647372324	0.688	0.631	0.555891689166955
FAP	6.58100934157724e-17	0.384167942827268	0.519	0.264	1.12021941012328e-12
TSHZ2	3.86507673941808e-12	0.382042508168983	0.498	0.292	6.57913362583745e-08
CXCL10	6.00912525700842e-05	0.380749639381053	0.06	0.018	1
MT-ND4	3.60440003049854e-08	0.379733170765903	1	0.95	0.000613540973191462
MMP1	0.00131633900050846	0.379574063480837	0.028	0.007	1
MT-ND4L	1.37842898924818e-11	0.378257858812274	0.996	0.953	2.34636182549825e-07
UFM1	1.51411596258431e-13	0.378046790931474	0.582	0.384	2.57732819151102e-09
PRXL2A	1.07689774589783e-07	0.377319168937062	0.319	0.191	0.00183309534306728
ID3	0.0373152901834011	0.376326415868338	0.649	0.622	1
SLC5A3	8.72607652480335e-15	0.375731417936122	0.382	0.178	1.48535274605203e-10
EGR1	3.93377660295097e-06	0.375350382597918	0.789	0.705	0.0669607453354314
CXCL1	0.201104944030145	0.375196844312799	0.147	0.121	1
LDHA	3.50784000939876e-05	0.374257387811557	0.719	0.649	0.597104526399857
NR4A1	1.21783259832908e-08	0.371611453227628	0.611	0.446	0.000207299464887576
EGR2	7.10606533692216e-09	0.369380671277378	0.295	0.151	0.000120959444165089
PDLIM5	4.35978135509439e-19	0.368644249949231	0.488	0.22	7.42121982264167e-15
SNX9	3.41677231946286e-09	0.367690441992734	0.635	0.489	5.81602984218968e-05
TSC22D1	0.000534319848605216	0.367655990807917	0.547	0.473	1
CDKN1A	0.000248630654518633	0.367009556852157	0.477	0.365	1
ID2	6.36968687165405e-08	0.365391079888485	0.502	0.336	0.00108424809929295
ABCA1	1.15056884578779e-16	0.362246867152913	0.382	0.168	1.95849828929998e-12
COTL1	0.000145229130240357	0.361208935044617	0.298	0.203	1
MYL12A	2.45539043632145e-07	0.360715985370683	0.828	0.764	0.00417956560070637
WNT5A	1.76180674684075e-15	0.360244323873212	0.337	0.135	2.99894744447232e-11
HLA-DRB1	0.149519626300911	0.358895762279924	0.116	0.091	1
COL4A1	1.9484197642074e-06	0.35799272693308	0.614	0.482	0.0331660012263384
IGHG4	0.331840139128059	0.357049242742947	0.039	0.028	1
WARS1	2.19410260957567e-08	0.356753036857147	0.333	0.194	0.000373480146201971
COMP	0.000651438101803393	0.355445792587945	0.144	0.078	1
RPRM	7.06107265913189e-20	0.354571829186456	0.218	0.053	1.20193578803743e-15
PSME2	0.0088990808391954	0.353752602775972	0.646	0.616	1
BST2	5.2417389683753e-10	0.348851895786284	0.572	0.371	8.92248807196844e-06
PDGFRA	0.000906377227606605	0.347109255957856	0.593	0.527	1
GBP4	8.29586696746664e-15	0.346407955625383	0.284	0.109	1.41212247520217e-10
MIF	5.6562925396325e-06	0.345907618568783	0.989	0.954	0.0962814116096243
TENT5A	0.000105497993856177	0.345780450078957	0.34	0.243	1
VAMP5	1.95520883057937e-11	0.345073850652846	0.505	0.324	3.32815647141221e-07
IGKV1-5	4.07565440524289e-15	0.344527116381636	0.088	0.009	6.93757892860445e-11
PPP1R15A	1.57623208079768e-06	0.3437588389103	0.796	0.661	0.0268306224793381
DUSP1	0.0252859658921729	0.34366665725218	0.821	0.797	1
MXRA8	0.000137352732630922	0.343226396960105	0.821	0.804	1
TANC1	2.15221550591602e-13	0.342807627113648	0.46	0.249	3.66350123417025e-09
CKS2	0.0145039264705527	0.342752634508435	0.126	0.083	1
TYMS	8.04426055430283e-05	0.342597300512766	0.084	0.033	1
MMP10	0.0877086022284615	0.341741989955099	0.028	0.014	1
ATF3	3.78317127487844e-06	0.339370111014123	0.474	0.341	0.0643971414409808
APCDD1	5.26730141537464e-06	0.338298997712596	0.375	0.252	0.0896600046925072
ENTPD1	1.59958668864884e-14	0.33818693909623	0.333	0.138	2.72281646141805e-10
GPNMB	5.7982238991391e-07	0.33602197986539	0.684	0.587	0.00986973672111458
IFITM3	8.02489944198828e-08	0.333677394807298	0.975	0.993	0.00136599838301524
CISD1	2.58305588262024e-14	0.333344815797922	0.554	0.325	4.39687772339618e-10
MT-CO2	1.35204919274631e-10	0.331587241884279	1	0.983	2.30145813589277e-06
BTG1	6.53880583656564e-05	0.330939694980928	0.786	0.721	1
TPM3	3.82826627638989e-06	0.330694163055288	0.484	0.354	0.0651647485567087
MICAL2	2.73399217555718e-19	0.329963135249201	0.312	0.107	4.65380148123343e-15
P3H2	9.76531356007541e-18	0.329516596448767	0.263	0.085	1.66225167419604e-13
ACP5	7.62033294915965e-05	0.327936190430068	0.382	0.289	1
MATN3	5.15966061995347e-05	0.326879354151536	0.144	0.07	0.87827743072848
ADAM12	1.36007213477289e-06	0.326408320275054	0.442	0.307	0.0231511478781042
COL5A2	9.5580468257372e-09	0.325703084179412	0.779	0.666	0.000162697073067699
STAT2	1.20203749503474e-09	0.32533890415579	0.47	0.296	2.04610822404814e-05
MYO1E	1.10284688430898e-14	0.325164458302641	0.4	0.186	1.87726596647075e-10
TPP1	9.51241574141753e-14	0.325042927013336	0.488	0.273	1.61920340750409e-09
ENC1	4.84639909597182e-09	0.32472102517803	0.442	0.271	8.24954054116324e-05
ANGPTL2	5.83689291154006e-09	0.324067901592174	0.425	0.272	9.9355591140235e-05
SGIP1	1.68117020427136e-14	0.323101584606253	0.484	0.252	2.86168792171071e-10
IGKV5-2	0.000322254221323336	0.320915321914294	0.011	0	1
GPX4	1.93769447114389e-07	0.32066188769887	0.884	0.84	0.00329834352878113
H4C3	0.289038019692356	0.320303314258492	0.635	0.61	1
CITED2	0.00205200358441911	0.319821371698176	0.218	0.15	1
RSRP1	1.60702043467011e-10	0.319812226391186	0.663	0.463	2.73547018389546e-06
MAP1LC3B	1.08109704193937e-09	0.317756836471271	0.618	0.434	1.8402433847892e-05
TGFBI	1.45810577716665e-09	0.315251365950682	0.249	0.115	2.48198765389308e-05
GREM1	8.92889879835813e-10	0.313727613785502	0.267	0.121	1.51987715345652e-05
LMO4	2.72966710556234e-07	0.311601194412899	0.628	0.491	0.00464643934708822
HSPD1	0.00479861883787072	0.309722769351871	0.74	0.708	1
FTH1	3.28527697916273e-06	0.309476531861629	1	1	0.055921984739308
RPL22L1	0.844201310542339	0.305886453416613	0.389	0.408	1
COL7A1	1.73340620763443e-07	0.305612926338327	0.425	0.283	0.00295060404663532
ZEB1	3.93883895425229e-08	0.304509083756123	0.533	0.386	0.000670469166792825
ANXA1	2.35215972742647e-12	0.301051567678336	0.656	0.424	4.00384628802534e-08
MAFB	0.00470821053163549	0.299921814260471	0.291	0.227	1
UBB	0.000320580003093017	0.297711915884705	0.933	0.961	1
SUGCT	7.8602096227991e-09	0.297404460557919	0.2	0.083	0.000133796488199286
H2AX	5.45964049695029e-08	0.297133996888852	0.421	0.261	0.000929340005390879
ENO1	0.767823055782768	0.296363994847282	0.681	0.702	1
NOX4	5.64069561134866e-16	0.295678590493132	0.253	0.084	9.60159206963769e-12
TPM2	4.4461550975799e-06	0.295640669215	0.891	0.911	0.0756824520710051
LUM	0.0012669699918957	0.294252525232437	0.912	0.947	1
HSBP1L1	5.33832194019317e-20	0.29359419428846	0.316	0.106	9.08689160659681e-16
PDLIM2	2.78870062031939e-09	0.29294532059287	0.509	0.344	4.74692619590766e-05
PFN1	0.0328194337740356	0.292763023466297	0.951	0.973	1
TNC	0.000176515778101137	0.29275655195523	0.421	0.316	1
MMP19	2.56244632324381e-08	0.292208062373839	0.379	0.225	0.000436179613142561
CSRP2	1.16697711288662e-08	0.292116411771671	0.418	0.254	0.00019864284415556
CBX3	8.52550993211744e-09	0.291789768414779	0.596	0.445	0.000145121230064503
WNT2	0.000110929292414829	0.291192425034267	0.474	0.366	1
SERTAD1	7.83472926693293e-07	0.290831078189614	0.547	0.39	0.0133362761581732
SUB1	0.000122551965933932	0.290663311144763	0.807	0.757	1
SNRPG	2.43463233016487e-05	0.290076345720856	0.593	0.502	0.414423115240664
SLC2A11	3.67795865232431e-06	0.288030693030215	0.221	0.123	0.0626062121798644
KIAA0930	4.41470895882287e-10	0.287650686991418	0.488	0.309	7.51471758970829e-06
RASD1	0.891288708522378	0.286791393331697	0.4	0.412	1
PSMA5	1.28361063806119e-06	0.286533439096562	0.425	0.298	0.0218496202810776
PHLDA1	1.1461371177225e-06	0.28607595712022	0.446	0.308	0.0195095460178723
DEPP1	5.32917105458035e-12	0.284299369119843	0.221	0.08	9.07131496910667e-08
CTTN	9.88839141515505e-08	0.284280459465743	0.502	0.347	0.00168320198668769
NET1	5.2084178643916e-05	0.282809987904996	0.267	0.168	0.886576888876737
TXN	4.22375867194853e-05	0.282445307203538	0.87	0.844	0.718968201139078
VMP1	6.98276103924847e-07	0.281043804054782	0.53	0.385	0.0118860558410087
JPT1	2.65824675261442e-09	0.281036800697795	0.239	0.107	4.52486762230026e-05
MMP14	0.000204352081406931	0.280835973129573	0.716	0.681	1
LXN	4.5263071628621e-07	0.279612831860132	0.404	0.262	0.00770468005262387
CLSTN2	4.51588235223141e-14	0.279355606527785	0.253	0.09	7.6869349399683e-10
EPSTI1	6.07683102210996e-13	0.279063209362807	0.312	0.137	1.03439817658356e-08
RFTN1	2.01919882063646e-13	0.278792486174877	0.295	0.122	3.43708023248739e-09
ADAMTS1	0.000559869044764362	0.278695365640864	0.284	0.198	1
NR2F1	4.88107818147976e-06	0.278483563736218	0.512	0.372	0.0830857128051485
RARRES1	4.47430118227883e-08	0.277370286746021	0.333	0.182	0.000761615547247502
HLA-DPA1	0.0338728415136708	0.276854977744083	0.133	0.094	1
PLAU	1.20016374988702e-09	0.276591442221072	0.333	0.171	2.04291873505769e-05
HLA-F	1.436407160171e-13	0.276513593201245	0.284	0.115	2.44505226804307e-09
CTSA	2.32629295109504e-09	0.276411003270388	0.544	0.362	3.95981586135398e-05
GOLM1	3.94629203548942e-07	0.276281944907498	0.372	0.24	0.00671737830281008
ZFAND2A	3.196136317093e-08	0.27587634029382	0.26	0.133	0.00054404632389557
POSTN	0.000416644346852056	0.27561042206238	0.239	0.156	1
RNF213	3.99281262410834e-11	0.275540153233701	0.411	0.214	6.79656564875722e-07
TSPAN4	1.14712788045837e-06	0.275242884722331	0.628	0.498	0.0195264107811625
PLA1A	4.92254683778971e-15	0.275004182056142	0.175	0.045	8.37915922728564e-11
STMN1	0.233507914541166	0.274469709587041	0.34	0.318	1
LIMD2	3.16393054201995e-12	0.272594183044006	0.232	0.087	5.38564256862635e-08
PPP1CA	1.44352438398064e-07	0.27247375607298	0.463	0.314	0.00245716720641184
RASL11A	1.53760753524202e-09	0.271947676701916	0.256	0.12	2.61731554648897e-05
BRD2	3.54834118467888e-07	0.271478441212682	0.712	0.568	0.0060399863645604
FMO1	1.71792574166325e-08	0.270924592074227	0.218	0.1	0.000292425319745919
NOTCH3	1.92741412790224e-06	0.269652639443479	0.225	0.119	0.0328084432851519
PRDX1	2.54081313811978e-05	0.269038328064897	0.926	0.895	0.432497212370749
C9orf16	1.89020801128241e-07	0.268113076029795	0.677	0.537	0.00321751207680492
DYNLRB1	1.20670610229391e-07	0.267741408511322	0.544	0.399	0.0020540551273247
ARL4D	6.13956323047527e-10	0.267090421793099	0.253	0.115	1.0450764530915e-05
MCL1	4.44001892261294e-08	0.266270675832513	0.751	0.564	0.000755780021007175
ARGLU1	1.17447831844382e-06	0.26624377751289	0.625	0.48	0.0199919699365507
HMOX1	8.79968254426447e-13	0.266159859149581	0.158	0.043	1.4978819626847e-08
C4B	1.1529526231546e-21	0.265974482337133	0.214	0.046	1.96255595513376e-17
RPS19	0.000645527831833567	0.265302465630064	1	0.998	1
TPT1	3.6881130962199e-09	0.263917088012801	1	0.999	6.27790611238552e-05
CD63	6.61429502215213e-08	0.263493980341688	0.972	0.989	0.00112588529867074
SLC6A6	1.16190946914649e-10	0.263370926402226	0.277	0.125	1.97780229838115e-06
CXCR4	3.38243857024887e-14	0.262826715485464	0.165	0.042	5.75758693427762e-10
ETV1	1.71138383557503e-10	0.2626704189639	0.337	0.17	2.91311756491581e-06
NFAT5	1.0302907414469e-07	0.26231764790358	0.407	0.258	0.00175376090009092
LCP1	0.00374677509425735	0.260646665527031	0.053	0.022	1
RHOB	0.074402153796686	0.260065825446358	0.719	0.709	1
CYGB	1.29986504810296e-09	0.259857948400751	0.337	0.18	2.21263028488086e-05
HSPG2	1.96102258144024e-07	0.259790427907152	0.407	0.257	0.00333805263812758
VAT1	0.000437028145573777	0.258537893495352	0.484	0.414	1
IGHV4-59	2.30668975859748e-36	0.258342710509072	0.144	0.003	3.92644730708463e-32
ATP5PO	1.48670392402184e-08	0.257947789137438	0.358	0.215	0.000253066741946997
FRY	6.81339464001792e-14	0.255885956241271	0.302	0.121	1.15977603562385e-09
PKIG	6.67697779594479e-07	0.255611867614568	0.691	0.58	0.0113655516042572
CARHSP1	9.1752724262281e-07	0.255550080140478	0.572	0.433	0.0156181487239255
RNF144A	2.7224191657771e-09	0.255210165454078	0.333	0.182	4.63410190398578e-05
AHR	8.89162571727983e-13	0.255160363253722	0.319	0.14	1.51353252959537e-08
TNS3	1.90920096414847e-08	0.255160363253722	0.312	0.169	0.000324984188117352
NOP53	0.000371928431408761	0.253846649367831	0.726	0.747	1
NUDT5	1.59950012378686e-09	0.253825399671017	0.298	0.151	2.72266911070999e-05
PSME1	4.17464654232551e-06	0.253651290809746	0.874	0.82	0.0710608334434648
C4A	1.70072977152096e-19	0.253470611589824	0.214	0.052	2.89498221708298e-15
ARHGAP42	1.41883160508799e-08	0.251427587003697	0.288	0.15	0.000241513515818078
ENY2	3.37079694368445e-05	0.250432789085401	0.586	0.506	0.573777055753966
RSPO3	2.48886515183515e-11	0.250234690160118	0.179	0.059	4.23654626145379e-07
PLOD2	1.5527972436605e-07	0.250195858451862	0.221	0.107	0.00264317146815891
ARL4C	5.64884152883638e-08	0.249769610480653	0.277	0.144	0.000961545805038529
